"","Show_Name","s1_cluster","Network","dct_values","period"
"1","12 MONKEYS","4","SYFY",-0.818814331493963,93
"2","12 MONKEYS","4","SYFY",-0.813330330655848,94
"3","12 MONKEYS","4","SYFY",-0.808554401750561,95
"4","12 MONKEYS","4","SYFY",-0.804521042851388,96
"5","12 MONKEYS","4","SYFY",-0.801259236836122,97
"6","12 MONKEYS","4","SYFY",-0.798792324111276,98
"7","12 MONKEYS","4","SYFY",-0.797137900167934,99
"8","12 MONKEYS","4","SYFY",-0.796307738383819,100
"9","12 MONKEYS","4","SYFY",0.54922089326352,20
"10","12 MONKEYS","4","SYFY",0.506634945208924,21
"11","12 MONKEYS","4","SYFY",0.462860960294638,22
"12","12 MONKEYS","4","SYFY",0.418020505829081,23
"13","12 MONKEYS","4","SYFY",0.372237310389691,24
"14","12 MONKEYS","4","SYFY",0.325636828060466,25
"15","12 MONKEYS","4","SYFY",0.278345797828597,26
"16","12 MONKEYS","4","SYFY",0.230491799825299,27
"17","12 MONKEYS","4","SYFY",0.182202810106391,28
"18","12 MONKEYS","4","SYFY",0.133606755672301,29
"19","12 MONKEYS","4","SYFY",0.0848310714242106,30
"20","12 MONKEYS","4","SYFY",0.0360022607439243,31
"21","12 MONKEYS","4","SYFY",-0.0127545386310957,32
"22","12 MONKEYS","4","SYFY",-0.0613159817884708,33
"23","12 MONKEYS","4","SYFY",-0.109560935257353,34
"24","12 MONKEYS","4","SYFY",-0.157370885475745,35
"25","12 MONKEYS","4","SYFY",-0.204630335565398,36
"26","12 MONKEYS","4","SYFY",-0.251227188918314,37
"27","12 MONKEYS","4","SYFY",-0.297053118152384,38
"28","12 MONKEYS","4","SYFY",-0.342003918052488,39
"29","12 MONKEYS","4","SYFY",-0.385979841177762,40
"30","12 MONKEYS","4","SYFY",1,1
"31","12 MONKEYS","4","SYFY",0.997397099348962,2
"32","12 MONKEYS","4","SYFY",0.99219894715101,3
"33","12 MONKEYS","4","SYFY",0.984420814015812,4
"34","12 MONKEYS","4","SYFY",0.974085536967771,5
"35","12 MONKEYS","4","SYFY",0.961223437075315,6
"36","12 MONKEYS","4","SYFY",0.945872210117692,7
"37","12 MONKEYS","4","SYFY",0.928076790710596,8
"38","12 MONKEYS","4","SYFY",0.907889190414071,9
"39","12 MONKEYS","4","SYFY",0.885368310446461,10
"40","12 MONKEYS","4","SYFY",0.860579729725682,11
"41","12 MONKEYS","4","SYFY",0.833595469054205,12
"42","12 MONKEYS","4","SYFY",0.804493732355602,13
"43","12 MONKEYS","4","SYFY",0.773358625958831,14
"44","12 MONKEYS","4","SYFY",0.740279857010522,15
"45","12 MONKEYS","4","SYFY",0.705352412175531,16
"46","12 MONKEYS","4","SYFY",0.668676217861528,17
"47","12 MONKEYS","4","SYFY",0.63035578327389,18
"48","12 MONKEYS","4","SYFY",0.590499827672665,19
"49","12 MONKEYS","4","SYFY",-0.957137995645166,60
"50","12 MONKEYS","4","SYFY",-0.967906996993473,61
"51","12 MONKEYS","4","SYFY",-0.97703185707809,62
"52","12 MONKEYS","4","SYFY",-0.984555144479916,63
"53","12 MONKEYS","4","SYFY",-0.990524821050915,64
"54","12 MONKEYS","4","SYFY",-0.994993975996639,65
"55","12 MONKEYS","4","SYFY",-0.998020540714277,66
"56","12 MONKEYS","4","SYFY",-0.999666985586315,67
"57","12 MONKEYS","4","SYFY",-1,68
"58","12 MONKEYS","4","SYFY",-0.99909015692791,69
"59","12 MONKEYS","4","SYFY",-0.997011563464656,70
"60","12 MONKEYS","4","SYFY",-0.993841498768916,71
"61","12 MONKEYS","4","SYFY",-0.989660040908308,72
"62","12 MONKEYS","4","SYFY",-0.984549684147117,73
"63","12 MONKEYS","4","SYFY",-0.978594948253019,74
"64","12 MONKEYS","4","SYFY",-0.971881981428986,75
"65","12 MONKEYS","4","SYFY",-0.964498158500088,76
"66","12 MONKEYS","4","SYFY",-0.95653167600198,77
"67","12 MONKEYS","4","SYFY",-0.948071145828364,78
"68","12 MONKEYS","4","SYFY",-0.939205189098637,79
"69","12 MONKEYS","4","SYFY",-0.930022031904227,80
"70","12 MONKEYS","4","SYFY",-0.428885914885223,41
"71","12 MONKEYS","4","SYFY",-0.470632238594178,42
"72","12 MONKEYS","4","SYFY",-0.511134260194847,43
"73","12 MONKEYS","4","SYFY",-0.55031303058766,44
"74","12 MONKEYS","4","SYFY",-0.588095435426778,45
"75","12 MONKEYS","4","SYFY",-0.624414403232098,46
"76","12 MONKEYS","4","SYFY",-0.659209089127721,47
"77","12 MONKEYS","4","SYFY",-0.692425033561705,48
"78","12 MONKEYS","4","SYFY",-0.724014295461039,49
"79","12 MONKEYS","4","SYFY",-0.753935559377023,50
"80","12 MONKEYS","4","SYFY",-0.782154216279167,51
"81","12 MONKEYS","4","SYFY",-0.808642417759996,52
"82","12 MONKEYS","4","SYFY",-0.83337910351804,53
"83","12 MONKEYS","4","SYFY",-0.856350002091977,54
"84","12 MONKEYS","4","SYFY",-0.877547604924293,55
"85","12 MONKEYS","4","SYFY",-0.896971113937982,56
"86","12 MONKEYS","4","SYFY",-0.914626362914196,57
"87","12 MONKEYS","4","SYFY",-0.93052571306179,58
"88","12 MONKEYS","4","SYFY",-0.944687923271292,59
"89","12 MONKEYS","4","SYFY",-0.873053059488495,86
"90","12 MONKEYS","4","SYFY",-0.864004130029614,87
"91","12 MONKEYS","4","SYFY",-0.855282983763311,88
"92","12 MONKEYS","4","SYFY",-0.846957207963638,89
"93","12 MONKEYS","4","SYFY",-0.839090405594457,90
"94","12 MONKEYS","4","SYFY",-0.831741913956079,91
"95","12 MONKEYS","4","SYFY",-0.824966542588611,92
"96","12 MONKEYS","4","SYFY",-0.89184581105787,84
"97","12 MONKEYS","4","SYFY",-0.920609104582797,81
"98","12 MONKEYS","4","SYFY",-0.91105264615367,82
"99","12 MONKEYS","4","SYFY",-0.901437315525425,83
"100","12 MONKEYS","4","SYFY",-0.882358500025517,85
"101","ALMIGHTY JOHNSONS","1","SYFY",0.904209825952569,8
"102","ALMIGHTY JOHNSONS","1","SYFY",1,1
"103","ALMIGHTY JOHNSONS","1","SYFY",0.996523039087281,2
"104","ALMIGHTY JOHNSONS","1","SYFY",0.989581615716181,3
"105","ALMIGHTY JOHNSONS","1","SYFY",0.979200678677167,4
"106","ALMIGHTY JOHNSONS","1","SYFY",0.965417531049097,5
"107","ALMIGHTY JOHNSONS","1","SYFY",0.948281686598639,6
"108","ALMIGHTY JOHNSONS","1","SYFY",0.927854679190032,7
"109","ALMIGHTY JOHNSONS","1","SYFY",0.356543399345702,21
"110","ALMIGHTY JOHNSONS","1","SYFY",0.877431945134552,9
"111","ALMIGHTY JOHNSONS","1","SYFY",0.847617029750098,10
"112","ALMIGHTY JOHNSONS","1","SYFY",0.814871878298532,11
"113","ALMIGHTY JOHNSONS","1","SYFY",0.779313684004268,12
"114","ALMIGHTY JOHNSONS","1","SYFY",0.741069584187649,13
"115","ALMIGHTY JOHNSONS","1","SYFY",0.70027617153359,14
"116","ALMIGHTY JOHNSONS","1","SYFY",0.657078969173782,15
"117","ALMIGHTY JOHNSONS","1","SYFY",0.611631871640221,16
"118","ALMIGHTY JOHNSONS","1","SYFY",0.56409655388131,17
"119","ALMIGHTY JOHNSONS","1","SYFY",0.514641850656626,18
"120","ALMIGHTY JOHNSONS","1","SYFY",0.463443108742486,19
"121","ALMIGHTY JOHNSONS","1","SYFY",0.410681514486503,20
"122","ALMIGHTY JOHNSONS","1","SYFY",-0.3288514542989,33
"123","ALMIGHTY JOHNSONS","1","SYFY",-0.382934910982807,34
"124","ALMIGHTY JOHNSONS","1","SYFY",-0.435662965213212,35
"125","ALMIGHTY JOHNSONS","1","SYFY",-0.486861657626556,36
"126","ALMIGHTY JOHNSONS","1","SYFY",-0.536363637144695,37
"127","ALMIGHTY JOHNSONS","1","SYFY",-0.584008787181763,38
"128","ALMIGHTY JOHNSONS","1","SYFY",-0.629644822768486,39
"129","ALMIGHTY JOHNSONS","1","SYFY",-0.673127856271801,40
"130","ALMIGHTY JOHNSONS","1","SYFY",-0.714322929511824,41
"131","ALMIGHTY JOHNSONS","1","SYFY",-0.753104510211513,42
"132","ALMIGHTY JOHNSONS","1","SYFY",-0.789356950855443,43
"133","ALMIGHTY JOHNSONS","1","SYFY",-0.822974908182814,44
"134","ALMIGHTY JOHNSONS","1","SYFY",-0.853863721695666,45
"135","ALMIGHTY JOHNSONS","1","SYFY",-0.881939749725137,46
"136","ALMIGHTY JOHNSONS","1","SYFY",-0.907130661766635,47
"137","ALMIGHTY JOHNSONS","1","SYFY",-0.929375685967277,48
"138","ALMIGHTY JOHNSONS","1","SYFY",-0.948625810826557,49
"139","ALMIGHTY JOHNSONS","1","SYFY",-0.964843940351685,50
"140","ALMIGHTY JOHNSONS","1","SYFY",-0.978005002093158,51
"141","ALMIGHTY JOHNSONS","1","SYFY",-0.988096007671998,52
"142","ALMIGHTY JOHNSONS","1","SYFY",-0.995116065597686,53
"143","ALMIGHTY JOHNSONS","1","SYFY",-0.999076346364248,54
"144","ALMIGHTY JOHNSONS","1","SYFY",-1,55
"145","ALMIGHTY JOHNSONS","1","SYFY",-0.997922026434338,56
"146","ALMIGHTY JOHNSONS","1","SYFY",-0.9928890992309,57
"147","ALMIGHTY JOHNSONS","1","SYFY",-0.984959343420351,58
"148","ALMIGHTY JOHNSONS","1","SYFY",-0.974202068347157,59
"149","ALMIGHTY JOHNSONS","1","SYFY",-0.960697456621752,60
"150","ALMIGHTY JOHNSONS","1","SYFY",-0.94453621044291,61
"151","ALMIGHTY JOHNSONS","1","SYFY",0.301219526128527,22
"152","ALMIGHTY JOHNSONS","1","SYFY",0.244904358736445,23
"153","ALMIGHTY JOHNSONS","1","SYFY",0.187795318264607,24
"154","ALMIGHTY JOHNSONS","1","SYFY",0.13009202837439,25
"155","ALMIGHTY JOHNSONS","1","SYFY",0.0719955528916287,26
"156","ALMIGHTY JOHNSONS","1","SYFY",0.0137076286143929,27
"157","ALMIGHTY JOHNSONS","1","SYFY",-0.0445701036679261,28
"158","ALMIGHTY JOHNSONS","1","SYFY",-0.102636866936225,29
"159","ALMIGHTY JOHNSONS","1","SYFY",-0.160293511481695,30
"160","ALMIGHTY JOHNSONS","1","SYFY",-0.217343271239221,31
"161","ALMIGHTY JOHNSONS","1","SYFY",-0.273592509958634,32
"162","ALMIGHTY JOHNSONS","1","SYFY",-0.588738512077208,73
"163","ALMIGHTY JOHNSONS","1","SYFY",-0.550205295995634,74
"164","ALMIGHTY JOHNSONS","1","SYFY",-0.511105373944581,75
"165","ALMIGHTY JOHNSONS","1","SYFY",-0.471621450471838,76
"166","ALMIGHTY JOHNSONS","1","SYFY",-0.431936894033768,77
"167","ALMIGHTY JOHNSONS","1","SYFY",-0.392234986141716,78
"168","ALMIGHTY JOHNSONS","1","SYFY",-0.352698171718789,79
"169","ALMIGHTY JOHNSONS","1","SYFY",-0.313507313651446,80
"170","ALMIGHTY JOHNSONS","1","SYFY",-0.274840954502934,81
"171","ALMIGHTY JOHNSONS","1","SYFY",-0.236874588326489,82
"172","ALMIGHTY JOHNSONS","1","SYFY",-0.19977994547526,83
"173","ALMIGHTY JOHNSONS","1","SYFY",-0.163724293253891,84
"174","ALMIGHTY JOHNSONS","1","SYFY",-0.128869755193046,85
"175","ALMIGHTY JOHNSONS","1","SYFY",-0.0953726516537132,86
"176","ALMIGHTY JOHNSONS","1","SYFY",-0.0633828643829623,87
"177","ALMIGHTY JOHNSONS","1","SYFY",-0.0330432275471892,88
"178","ALMIGHTY JOHNSONS","1","SYFY",-0.00448894766344377,89
"179","ALMIGHTY JOHNSONS","1","SYFY",0.022152945265774,90
"180","ALMIGHTY JOHNSONS","1","SYFY",0.0467641132330689,91
"181","ALMIGHTY JOHNSONS","1","SYFY",0.0692353902737184,92
"182","ALMIGHTY JOHNSONS","1","SYFY",0.0894672251728201,93
"183","ALMIGHTY JOHNSONS","1","SYFY",0.107370085073277,94
"184","ALMIGHTY JOHNSONS","1","SYFY",0.122864818380956,95
"185","ALMIGHTY JOHNSONS","1","SYFY",0.135882975525635,96
"186","ALMIGHTY JOHNSONS","1","SYFY",0.146367086303311,97
"187","ALMIGHTY JOHNSONS","1","SYFY",0.154270892698381,98
"188","ALMIGHTY JOHNSONS","1","SYFY",0.159559536260868,99
"189","ALMIGHTY JOHNSONS","1","SYFY",0.162209699294447,100
"190","ALMIGHTY JOHNSONS","1","SYFY",-0.855483903043918,65
"191","ALMIGHTY JOHNSONS","1","SYFY",-0.925819156722739,62
"192","ALMIGHTY JOHNSONS","1","SYFY",-0.904656812609103,63
"193","ALMIGHTY JOHNSONS","1","SYFY",-0.881168913156338,64
"194","ALMIGHTY JOHNSONS","1","SYFY",-0.733615253607764,69
"195","ALMIGHTY JOHNSONS","1","SYFY",-0.827738394384372,66
"196","ALMIGHTY JOHNSONS","1","SYFY",-0.798076592795017,67
"197","ALMIGHTY JOHNSONS","1","SYFY",-0.766649694032867,68
"198","ALMIGHTY JOHNSONS","1","SYFY",-0.699136531894753,70
"199","ALMIGHTY JOHNSONS","1","SYFY",-0.663381817362966,71
"200","ALMIGHTY JOHNSONS","1","SYFY",-0.626523730623918,72
"201","BELOW DECK","2","BRVO",0.137322022591539,29
"202","BELOW DECK","2","BRVO",-1,1
"203","BELOW DECK","2","BRVO",-0.996385545276766,2
"204","BELOW DECK","2","BRVO",-0.989170000407066,3
"205","BELOW DECK","2","BRVO",-0.978380042688772,4
"206","BELOW DECK","2","BRVO",-0.964055558633312,5
"207","BELOW DECK","2","BRVO",-0.946249489212969,6
"208","BELOW DECK","2","BRVO",-0.925027624471148,7
"209","BELOW DECK","2","BRVO",-0.900468348302719,8
"210","BELOW DECK","2","BRVO",-0.872662334407221,9
"211","BELOW DECK","2","BRVO",-0.841712194609767,10
"212","BELOW DECK","2","BRVO",-0.807732080931323,11
"213","BELOW DECK","2","BRVO",-0.770847242972014,12
"214","BELOW DECK","2","BRVO",-0.731193542346373,13
"215","BELOW DECK","2","BRVO",-0.688916926078262,14
"216","BELOW DECK","2","BRVO",-0.644172861024248,15
"217","BELOW DECK","2","BRVO",-0.597125731547289,16
"218","BELOW DECK","2","BRVO",-0.547948202806689,17
"219","BELOW DECK","2","BRVO",-0.496820552165292,18
"220","BELOW DECK","2","BRVO",-0.443929971339861,19
"221","BELOW DECK","2","BRVO",-0.389469842035239,20
"222","BELOW DECK","2","BRVO",-0.333638987906974,21
"223","BELOW DECK","2","BRVO",-0.2766409057894,22
"224","BELOW DECK","2","BRVO",-0.218682979207707,23
"225","BELOW DECK","2","BRVO",-0.159975677261343,24
"226","BELOW DECK","2","BRVO",-0.100731742023337,25
"227","BELOW DECK","2","BRVO",-0.0411653676447294,26
"228","BELOW DECK","2","BRVO",0.0185086256146281,27
