"","Show_Name","cluster_kmeans_5","Network","Season_num","dct_values","period"
"1","12 MONKEYS","5","SYFY",1,0.397791000399071,1
"2","12 MONKEYS","5","SYFY",1,0.39476273510854,2
"3","12 MONKEYS","5","SYFY",1,0.388719035182431,3
"4","12 MONKEYS","5","SYFY",1,0.379685510425979,4
"5","12 MONKEYS","5","SYFY",1,0.367700446989485,5
"6","12 MONKEYS","5","SYFY",1,0.352814653669988,6
"7","12 MONKEYS","5","SYFY",1,0.335091257928976,7
"8","12 MONKEYS","5","SYFY",1,0.314605452434567,8
"9","12 MONKEYS","5","SYFY",1,0.291444193132713,9
"10","12 MONKEYS","5","SYFY",1,0.26570585004412,10
"11","12 MONKEYS","5","SYFY",1,0.237499812170967,11
"12","12 MONKEYS","5","SYFY",1,0.20694604807946,12
"13","12 MONKEYS","5","SYFY",1,0.174174623900012,13
"14","12 MONKEYS","5","SYFY",1,0.139325180655708,14
"15","12 MONKEYS","5","SYFY",1,0.102546372991037,15
"16","12 MONKEYS","5","SYFY",1,0.0639952715260128,16
"17","12 MONKEYS","5","SYFY",1,0.0238367312051415,17
"18","12 MONKEYS","5","SYFY",1,-0.0177572718543038,18
"19","12 MONKEYS","5","SYFY",1,-0.0606083323851737,19
"20","12 MONKEYS","5","SYFY",1,-0.10453233412026,20
"21","12 MONKEYS","5","SYFY",1,-0.149340191220948,21
"22","12 MONKEYS","5","SYFY",1,-0.194838610044018,22
"23","12 MONKEYS","5","SYFY",1,-0.240830868224909,23
"24","12 MONKEYS","5","SYFY",1,-0.287117607986753,24
"25","12 MONKEYS","5","SYFY",1,-0.333497640527614,25
"26","12 MONKEYS","5","SYFY",1,-0.379768758294014,26
"27","12 MONKEYS","5","SYFY",1,-0.425728551917045,27
"28","12 MONKEYS","5","SYFY",1,-0.471175228568305,28
"29","12 MONKEYS","5","SYFY",1,-0.515908428486725,29
"30","12 MONKEYS","5","SYFY",1,-0.559730036433934,30
"31","12 MONKEYS","5","SYFY",1,-0.602444984855264,31
"32","12 MONKEYS","5","SYFY",1,-0.64386204555568,32
"33","12 MONKEYS","5","SYFY",1,-0.683794606744702,33
"34","12 MONKEYS","5","SYFY",1,-0.722061432361617,34
"35","12 MONKEYS","5","SYFY",1,-0.758487400661718,35
"36","12 MONKEYS","5","SYFY",1,-0.792904219125677,36
"37","12 MONKEYS","5","SYFY",1,-0.825151112847171,37
"38","12 MONKEYS","5","SYFY",1,-0.855075483658104,38
"39","12 MONKEYS","5","SYFY",1,-0.882533537365868,39
"40","12 MONKEYS","5","SYFY",1,-0.907390876602542,40
"41","12 MONKEYS","5","SYFY",1,-0.929523056921307,41
"42","12 MONKEYS","5","SYFY",1,-0.948816103920057,42
"43","12 MONKEYS","5","SYFY",1,-0.965166989325705,43
"44","12 MONKEYS","5","SYFY",1,-0.978484064134354,44
"45","12 MONKEYS","5","SYFY",1,-0.988687447071746,45
"46","12 MONKEYS","5","SYFY",1,-0.995709366814499,46
"47","12 MONKEYS","5","SYFY",1,-0.999494456594929,47
"48","12 MONKEYS","5","SYFY",1,-1,48
"49","12 MONKEYS","5","SYFY",1,-0.997196126967408,49
"50","12 MONKEYS","5","SYFY",1,-0.991065959178249,50
"51","12 MONKEYS","5","SYFY",1,-0.98160570424531,51
"52","12 MONKEYS","5","SYFY",1,-0.968824698298057,52
"53","12 MONKEYS","5","SYFY",1,-0.95274539676901,53
"54","12 MONKEYS","5","SYFY",1,-0.933403313390572,54
"55","12 MONKEYS","5","SYFY",1,-0.910846907615837,55
"56","12 MONKEYS","5","SYFY",1,-0.88513742088044,56
"57","12 MONKEYS","5","SYFY",1,-0.856348662324508,57
"58","12 MONKEYS","5","SYFY",1,-0.824566744793319,58
"59","12 MONKEYS","5","SYFY",1,-0.789889772131612,59
"60","12 MONKEYS","5","SYFY",1,-0.752427478978869,60
"61","12 MONKEYS","5","SYFY",1,-0.712300824460533,61
"62","12 MONKEYS","5","SYFY",1,-0.669641541352244,62
"63","12 MONKEYS","5","SYFY",1,-0.624591642470169,63
"64","12 MONKEYS","5","SYFY",1,-0.577302886209525,64
"65","12 MONKEYS","5","SYFY",1,-0.527936203314933,65
"66","12 MONKEYS","5","SYFY",1,-0.476661087119505,66
"67","12 MONKEYS","5","SYFY",1,-0.423654949634098,67
"68","12 MONKEYS","5","SYFY",1,-0.369102446003277,68
"69","12 MONKEYS","5","SYFY",1,-0.313194769969756,69
"70","12 MONKEYS","5","SYFY",1,-0.256128923103902,70
