"","Show_Name","s1_cluster","Network","dct_values","period"
"1","12 MONKEYS","5","SYFY",0.911305019290001,93
"2","12 MONKEYS","5","SYFY",0.933213919016496,94
"3","12 MONKEYS","5","SYFY",0.952132971839536,95
"4","12 MONKEYS","5","SYFY",0.967998015748616,96
"5","12 MONKEYS","5","SYFY",0.980755206919607,97
"6","12 MONKEYS","5","SYFY",0.990361223558522,98
"7","12 MONKEYS","5","SYFY",0.996783429940002,99
"8","12 MONKEYS","5","SYFY",1,100
"9","12 MONKEYS","5","SYFY",-0.535158337813552,20
"10","12 MONKEYS","5","SYFY",-0.563736435972742,21
"11","12 MONKEYS","5","SYFY",-0.592570566865027,22
"12","12 MONKEYS","5","SYFY",-0.621512581499576,23
"13","12 MONKEYS","5","SYFY",-0.650412530927091,24
"14","12 MONKEYS","5","SYFY",-0.679119293279067,25
"15","12 MONKEYS","5","SYFY",-0.707481206757388,26
"16","12 MONKEYS","5","SYFY",-0.73534670604005,27
"17","12 MONKEYS","5","SYFY",-0.762564959554018,28
"18","12 MONKEYS","5","SYFY",-0.78898650506162,29
"19","12 MONKEYS","5","SYFY",-0.814463881012286,30
"20","12 MONKEYS","5","SYFY",-0.83885225112705,31
"21","12 MONKEYS","5","SYFY",-0.862010019708781,32
"22","12 MONKEYS","5","SYFY",-0.88379943520669,33
"23","12 MONKEYS","5","SYFY",-0.904087179608926,34
"24","12 MONKEYS","5","SYFY",-0.922744941292061,35
"25","12 MONKEYS","5","SYFY",-0.939649969020608,36
"26","12 MONKEYS","5","SYFY",-0.954685604863176,37
"27","12 MONKEYS","5","SYFY",-0.967741793874277,38
"28","12 MONKEYS","5","SYFY",-0.978715568481639,39
"29","12 MONKEYS","5","SYFY",-0.98751150561799,40
"30","12 MONKEYS","5","SYFY",-0.20554325141778,1
"31","12 MONKEYS","5","SYFY",-0.207570095835629,2
"32","12 MONKEYS","5","SYFY",-0.211614025048383,3
"33","12 MONKEYS","5","SYFY",-0.217655560064427,4
"34","12 MONKEYS","5","SYFY",-0.22566558287142,5
"35","12 MONKEYS","5","SYFY",-0.235605456557416,6
"36","12 MONKEYS","5","SYFY",-0.247427184725943,7
"37","12 MONKEYS","5","SYFY",-0.261073609569059,8
"38","12 MONKEYS","5","SYFY",-0.276478647808152,9
"39","12 MONKEYS","5","SYFY",-0.293567563561094,10
"40","12 MONKEYS","5","SYFY",-0.31225727704697,11
"41","12 MONKEYS","5","SYFY",-0.332456707896473,12
"42","12 MONKEYS","5","SYFY",-0.354067151697862,13
"43","12 MONKEYS","5","SYFY",-0.376982688275553,14
"44","12 MONKEYS","5","SYFY",-0.401090620071559,15
"45","12 MONKEYS","5","SYFY",-0.426271938879596,16
"46","12 MONKEYS","5","SYFY",-0.452401819068188,17
"47","12 MONKEYS","5","SYFY",-0.479350135323001,18
"48","12 MONKEYS","5","SYFY",-0.506982002840332,19
"49","12 MONKEYS","5","SYFY",-0.639520088507123,60
"50","12 MONKEYS","5","SYFY",-0.596966867569743,61
"51","12 MONKEYS","5","SYFY",-0.552533779027875,62
"52","12 MONKEYS","5","SYFY",-0.506343442987636,63
