"","Show_Name","s1_cluster","Network","dct_values","period"
"1","12 MONKEYS","2","SYFY",0.774840752933807,15
"2","12 MONKEYS","2","SYFY",0.744384591297346,16
"3","12 MONKEYS","2","SYFY",0.712354173614857,17
"4","12 MONKEYS","2","SYFY",0.678831967426097,18
"5","12 MONKEYS","2","SYFY",0.64390383869944,19
"6","12 MONKEYS","2","SYFY",0.60765875877978,20
"7","12 MONKEYS","2","SYFY",0.570188501492045,21
"8","12 MONKEYS","2","SYFY",0.531587331548094,22
"9","12 MONKEYS","2","SYFY",0.491951685436796,23
"10","12 MONKEYS","2","SYFY",0.451379846004446,24
"11","12 MONKEYS","2","SYFY",0.409971611955371,25
"12","12 MONKEYS","2","SYFY",0.367827963520393,26
"13","12 MONKEYS","2","SYFY",0.325050725553909,27
"14","12 MONKEYS","2","SYFY",0.28174222932833,28
"15","12 MONKEYS","2","SYFY",0.238004974297833,29
"16","12 MONKEYS","2","SYFY",0.193941291101524,30
"17","12 MONKEYS","2","SYFY",0.149653007069356,31
"18","12 MONKEYS","2","SYFY",0.105241115482433,32
"19","12 MONKEYS","2","SYFY",0.0608054498228074,33
"20","12 MONKEYS","2","SYFY",0.0164443642264689,34
"21","12 MONKEYS","2","SYFY",-0.0277455786728288,35
"22","12 MONKEYS","2","SYFY",-0.0716699113519743,36
"23","12 MONKEYS","2","SYFY",-0.115236555337405,37
"24","12 MONKEYS","2","SYFY",-0.158356104392302,38
"25","12 MONKEYS","2","SYFY",-0.200942095913636,39
"26","12 MONKEYS","2","SYFY",-0.242911269548343,40
"27","12 MONKEYS","2","SYFY",-0.284183812089531,41
"28","12 MONKEYS","2","SYFY",-0.324683587768819,42
"29","12 MONKEYS","2","SYFY",-0.364338353119529,43
"30","12 MONKEYS","2","SYFY",-0.403079955647249,44
"31","12 MONKEYS","2","SYFY",-0.440844515609025,45
"32","12 MONKEYS","2","SYFY",-0.477572590269801,46
"33","12 MONKEYS","2","SYFY",-0.513209320074591,47
"34","12 MONKEYS","2","SYFY",-0.547704556246737,48
"35","12 MONKEYS","2","SYFY",-0.581012969396439,49
"36","12 MONKEYS","2","SYFY",-0.613094138799067,50
"37","12 MONKEYS","2","SYFY",-0.643912622079336,51
"38","12 MONKEYS","2","SYFY",-0.673438005115009,52
"39","12 MONKEYS","2","SYFY",-0.701644932051963,53
"40","12 MONKEYS","2","SYFY",-0.728513115401001,54
"41","12 MONKEYS","2","SYFY",-0.75402732626535,55
"42","12 MONKEYS","2","SYFY",-0.77817736482607,56
"43","12 MONKEYS","2","SYFY",-0.800958011290302,57
"44","12 MONKEYS","2","SYFY",-0.822368957584068,58
"45","12 MONKEYS","2","SYFY",-0.842414720146944,59
"46","12 MONKEYS","2","SYFY",-0.861104534260021,60
"47","12 MONKEYS","2","SYFY",-0.8784522304109,61
"48","12 MONKEYS","2","SYFY",-0.894476093269678,62
"49","12 MONKEYS","2","SYFY",-0.909198703917813,63
"50","12 MONKEYS","2","SYFY",-0.922646766036978,64
"51","12 MONKEYS","2","SYFY",-0.934850916827466,65
"52","12 MONKEYS","2","SYFY",-0.945845523484941,66
"53","12 MONKEYS","2","SYFY",-0.955668466120283,67
"54","12 MONKEYS","2","SYFY",-0.964360908059636,68
"55","12 MONKEYS","2","SYFY",-0.971967054510307,69
"56","12 MONKEYS","2","SYFY",-0.978533900622816,70
"57","12 MONKEYS","2","SYFY",-0.984110970019843,71
"58","12 MONKEYS","2","SYFY",-0.988750044898976,72
"59","12 MONKEYS","2","SYFY",-0.992504888847902,73
"60","12 MONKEYS","2","SYFY",-0.995430963537825,74
"61","12 MONKEYS","2","SYFY",-0.997585140483396,75
"62","12 MONKEYS","2","SYFY",-0.999025409075144,76
"63","12 MONKEYS","2","SYFY",-0.999810582103307,77
"64","12 MONKEYS","2","SYFY",-1,78
"65","12 MONKEYS","2","SYFY",-0.999653235029726,79
"66","12 MONKEYS","2","SYFY",-0.998829796656502,80
"67","12 MONKEYS","2","SYFY",-0.997588839309096,81
"68","12 MONKEYS","2","SYFY",-0.995988873754342,82
"69","12 MONKEYS","2","SYFY",-0.994087483272045,83
"70","12 MONKEYS","2","SYFY",-0.991941045803819,84
"71","12 MONKEYS","2","SYFY",-0.989604463222354,85
"72","12 MONKEYS","2","SYFY",-0.987130898837142,86
"73","12 MONKEYS","2","SYFY",-0.984571524217854,87
"74","12 MONKEYS","2","SYFY",-0.98197527637731,88
"75","12 MONKEYS","2","SYFY",-0.97938862631268,89
"76","12 MONKEYS","2","SYFY",-0.976855359856188,90
"77","12 MONKEYS","2","SYFY",-0.974416371735497,91
"78","12 MONKEYS","2","SYFY",-0.972109473689205,92
"79","12 MONKEYS","2","SYFY",-0.96996921742485,93
"80","12 MONKEYS","2","SYFY",-0.968026733145556,94
"81","12 MONKEYS","2","SYFY",-0.966309584307379,95
"82","12 MONKEYS","2","SYFY",-0.964841639202651,96
"83","12 MONKEYS","2","SYFY",-0.963642959895494,97
"84","12 MONKEYS","2","SYFY",-0.962729708964482,98
"85","12 MONKEYS","2","SYFY",-0.962114074434381,99
"86","12 MONKEYS","2","SYFY",-0.961804213204373,100
"87","12 MONKEYS","2","SYFY",0.977630581655026,5
"88","12 MONKEYS","2","SYFY",0.966520490659697,6
"89","12 MONKEYS","2","SYFY",0.953253726000331,7
"90","12 MONKEYS","2","SYFY",0.937865554045671,8
"91","12 MONKEYS","2","SYFY",0.920396807522192,9
"92","12 MONKEYS","2","SYFY",0.900893744002273,10
"93","12 MONKEYS","2","SYFY",0.879407885732655,11
"94","12 MONKEYS","2","SYFY",0.855995841413217,12
"95","12 MONKEYS","2","SYFY",0.830719110604649,13
"96","12 MONKEYS","2","SYFY",1,1
"97","12 MONKEYS","2","SYFY",0.997754074863052,2
"98","12 MONKEYS","2","SYFY",0.993268223180405,3
"99","12 MONKEYS","2","SYFY",0.98655442128831,4
"100","12 MONKEYS","2","SYFY",0.80364387150946,14
"101","ALMIGHTY JOHNSONS","2","SYFY",1,1
"102","ALMIGHTY JOHNSONS","2","SYFY",0.992037766328467,3
"103","ALMIGHTY JOHNSONS","2","SYFY",0.984099247106215,4
"104","ALMIGHTY JOHNSONS","2","SYFY",0.973551354782176,5
"105","ALMIGHTY JOHNSONS","2","SYFY",0.997343283982046,2
"106","ALMIGHTY JOHNSONS","2","SYFY",0.944760564757205,7
"107","ALMIGHTY JOHNSONS","2","SYFY",0.926603155396469,8
"108","ALMIGHTY JOHNSONS","2","SYFY",0.90600703999751,9
"109","ALMIGHTY JOHNSONS","2","SYFY",0.960425460572609,6
"110","ALMIGHTY JOHNSONS","2","SYFY",0.857749324277071,11
"111","ALMIGHTY JOHNSONS","2","SYFY",0.830230056170227,12
"112","ALMIGHTY JOHNSONS","2","SYFY",0.80055623222179,13
"113","ALMIGHTY JOHNSONS","2","SYFY",0.768814836423945,14
"114","ALMIGHTY JOHNSONS","2","SYFY",0.735098637440096,15
"115","ALMIGHTY JOHNSONS","2","SYFY",0.699505854563031,16
"116","ALMIGHTY JOHNSONS","2","SYFY",0.662139804474217,17
"117","ALMIGHTY JOHNSONS","2","SYFY",0.623108530164378,18
"118","ALMIGHTY JOHNSONS","2","SYFY",0.582524413443634,19
"119","ALMIGHTY JOHNSONS","2","SYFY",0.540503772532073,20
"120","ALMIGHTY JOHNSONS","2","SYFY",0.4971664462783,21
"121","ALMIGHTY JOHNSONS","2","SYFY",0.452635366604145,22
"122","ALMIGHTY JOHNSONS","2","SYFY",0.88303315077766,10
"123","ALMIGHTY JOHNSONS","2","SYFY",-0.270753946677508,37
"124","ALMIGHTY JOHNSONS","2","SYFY",-0.316889960856053,38
"125","ALMIGHTY JOHNSONS","2","SYFY",-0.362093290469613,39
"126","ALMIGHTY JOHNSONS","2","SYFY",-0.406261625778812,40
"127","ALMIGHTY JOHNSONS","2","SYFY",-0.449297650399724,41
"128","ALMIGHTY JOHNSONS","2","SYFY",-0.491109349381571,42
"129","ALMIGHTY JOHNSONS","2","SYFY",-0.531610295540282,43
"130","ALMIGHTY JOHNSONS","2","SYFY",-0.570719912993704,44
"131","ALMIGHTY JOHNSONS","2","SYFY",-0.60836371693493,45
"132","ALMIGHTY JOHNSONS","2","SYFY",-0.644473528774683,46
"133","ALMIGHTY JOHNSONS","2","SYFY",-0.678987665881451,47
"134","ALMIGHTY JOHNSONS","2","SYFY",-0.711851105248855,48
"135","ALMIGHTY JOHNSONS","2","SYFY",-0.743015620523047,49
"136","ALMIGHTY JOHNSONS","2","SYFY",-0.772439891928421,50
"137","ALMIGHTY JOHNSONS","2","SYFY",-0.800089588737164,51
"138","ALMIGHTY JOHNSONS","2","SYFY",-0.825937424036713,52
"139","ALMIGHTY JOHNSONS","2","SYFY",-0.849963181658647,53
"140","ALMIGHTY JOHNSONS","2","SYFY",-0.872153715242425,54
