"","Show_Name","s1_cluster","Network","dct_values","period"
"1","12 MONKEYS","2","SYFY",0.79685107845357,15
"2","12 MONKEYS","2","SYFY",0.769272298976106,16
"3","12 MONKEYS","2","SYFY",0.740240224630934,17
"4","12 MONKEYS","2","SYFY",0.709824659789289,18
"5","12 MONKEYS","2","SYFY",0.678098332830584,19
"6","12 MONKEYS","2","SYFY",0.645136655803977,20
"7","12 MONKEYS","2","SYFY",0.611017475955353,21
"8","12 MONKEYS","2","SYFY",0.575820820051848,22
"9","12 MONKEYS","2","SYFY",0.53962863246208,23
"10","12 MONKEYS","2","SYFY",0.502524507972546,24
"11","12 MONKEYS","2","SYFY",0.464593420339171,25
"12","12 MONKEYS","2","SYFY",0.425921447587596,26
"13","12 MONKEYS","2","SYFY",0.386595495086463,27
"14","12 MONKEYS","2","SYFY",0.346703017424632,28
"15","12 MONKEYS","2","SYFY",0.306331740125968,29
"16","12 MONKEYS","2","SYFY",0.265569382233963,30
"17","12 MONKEYS","2","SYFY",0.224503380793141,31
"18","12 MONKEYS","2","SYFY",0.183220618244853,32
"19","12 MONKEYS","2","SYFY",0.141807153741774,33
"20","12 MONKEYS","2","SYFY",0.100347959368276,34
"21","12 MONKEYS","2","SYFY",0.058926662232808,35
"22","12 MONKEYS","2","SYFY",0.0176252933737282,36
"23","12 MONKEYS","2","SYFY",-0.0234759556083827,37
"24","12 MONKEYS","2","SYFY",-0.0642989673107769,38
"25","12 MONKEYS","2","SYFY",-0.104767923835116,39
"26","12 MONKEYS","2","SYFY",-0.144809521833292,40
"27","12 MONKEYS","2","SYFY",-0.18435317652687,41
"28","12 MONKEYS","2","SYFY",-0.223331213979135,42
"29","12 MONKEYS","2","SYFY",-0.261679050946102,43
"30","12 MONKEYS","2","SYFY",-0.299335361682777,44
"31","12 MONKEYS","2","SYFY",-0.336242231133274,45
"32","12 MONKEYS","2","SYFY",-0.372345293987899,46
"33","12 MONKEYS","2","SYFY",-0.407593859146729,47
"34","12 MONKEYS","2","SYFY",-0.441941019187396,48
"35","12 MONKEYS","2","SYFY",-0.475343744494459,49
"36","12 MONKEYS","2","SYFY",-0.507762961768673,50
"37","12 MONKEYS","2","SYFY",-0.539163616696424,51
"38","12 MONKEYS","2","SYFY",-0.569514720622345,52
"39","12 MONKEYS","2","SYFY",-0.598789381131378,53
"40","12 MONKEYS","2","SYFY",-0.626964816510101,54
"41","12 MONKEYS","2","SYFY",-0.65402235412072,55
"42","12 MONKEYS","2","SYFY",-0.679947412784477,56
"43","12 MONKEYS","2","SYFY",-0.704729469334101,57
"44","12 MONKEYS","2","SYFY",-0.72836200955712,58
"45","12 MONKEYS","2","SYFY",-0.750842463813012,59
"46","12 MONKEYS","2","SYFY",-0.772172127667227,60
"47","12 MONKEYS","2","SYFY",-0.792356067943595,61
"48","12 MONKEYS","2","SYFY",-0.811403014653596,62
"49","12 MONKEYS","2","SYFY",-0.829325239315885,63
"50","12 MONKEYS","2","SYFY",-0.84613842023239,64
"51","12 MONKEYS","2","SYFY",-0.861861495337837,65
"52","12 MONKEYS","2","SYFY",-0.876516503287585,66
"53","12 MONKEYS","2","SYFY",-0.890128413493998,67
"54","12 MONKEYS","2","SYFY",-0.902724945864027,68
"55","12 MONKEYS","2","SYFY",-0.914336381030053,69
"56","12 MONKEYS","2","SYFY",-0.924995361902248,70
"57","12 MONKEYS","2","SYFY",-0.934736687403534,71
"58","12 MONKEYS","2","SYFY",-0.943597099277612,72
"59","12 MONKEYS","2","SYFY",-0.951615062886278,73
"60","12 MONKEYS","2","SYFY",-0.958830542934352,74
"61","12 MONKEYS","2","SYFY",-0.96528477507885,75
"62","12 MONKEYS","2","SYFY",-0.971020034393498,76
"63","12 MONKEYS","2","SYFY",-0.976079401670237,77
"64","12 MONKEYS","2","SYFY",-0.980506528546014,78
"65","12 MONKEYS","2","SYFY",-0.984345402445783,79
"66","12 MONKEYS","2","SYFY",-0.987640112331362,80
"67","12 MONKEYS","2","SYFY",-0.990434616240451,81
"68","12 MONKEYS","2","SYFY",-0.992772511590963,82
"69","12 MONKEYS","2","SYFY",-0.994696809212615,83
"70","12 MONKEYS","2","SYFY",-0.996249712050791,84
"71","12 MONKEYS","2","SYFY",-0.997472399466908,85
"72","12 MONKEYS","2","SYFY",-0.998404818035041,86
"73","12 MONKEYS","2","SYFY",-0.999085479706526,87
"74","12 MONKEYS","2","SYFY",-0.999551268182688,88
"75","12 MONKEYS","2","SYFY",-0.999837254300947,89
"76","12 MONKEYS","2","SYFY",-0.999976521201426,90
"77","12 MONKEYS","2","SYFY",-1,91
"78","12 MONKEYS","2","SYFY",-0.999936316649624,92
"79","12 MONKEYS","2","SYFY",-0.999811650624972,93
"80","12 MONKEYS","2","SYFY",-0.999649606016057,94
"81","12 MONKEYS","2","SYFY",-0.999471095564836,95
"82","12 MONKEYS","2","SYFY",-0.999294238124938,96
"83","12 MONKEYS","2","SYFY",-0.999134269968964,97
"84","12 MONKEYS","2","SYFY",-0.999003470310339,98
"85","12 MONKEYS","2","SYFY",-0.998911101347798,99
"86","12 MONKEYS","2","SYFY",-0.998863363080482,100
"87","12 MONKEYS","2","SYFY",0.979871944687976,5
"88","12 MONKEYS","2","SYFY",0.969870797937007,6
"89","12 MONKEYS","2","SYFY",0.957924495487356,7
"90","12 MONKEYS","2","SYFY",0.944062769582614,8
"91","12 MONKEYS","2","SYFY",0.928320052896191,9
"92","12 MONKEYS","2","SYFY",0.910735362648517,10
"93","12 MONKEYS","2","SYFY",0.891352169432734,11
"94","12 MONKEYS","2","SYFY",0.87021825124408,12
"95","12 MONKEYS","2","SYFY",0.84738553326377,13
"96","12 MONKEYS","2","SYFY",1,1
"97","12 MONKEYS","2","SYFY",0.997979624919023,2
"98","12 MONKEYS","2","SYFY",0.993943929083533,3
"99","12 MONKEYS","2","SYFY",0.987903004080213,4
"100","12 MONKEYS","2","SYFY",0.822909914001719,14
"101","ALMIGHTY JOHNSONS","5","SYFY",1,1
"102","ALMIGHTY JOHNSONS","5","SYFY",0.989749117389915,3
"103","ALMIGHTY JOHNSONS","5","SYFY",0.97953464671564,4
"104","ALMIGHTY JOHNSONS","5","SYFY",0.965971848380357,5
"105","ALMIGHTY JOHNSONS","5","SYFY",0.996578988178088,2
"106","ALMIGHTY JOHNSONS","5","SYFY",0.929005542833714,7
"107","ALMIGHTY JOHNSONS","5","SYFY",0.905733166359248,8
"108","ALMIGHTY JOHNSONS","5","SYFY",0.879374220749193,9
"109","ALMIGHTY JOHNSONS","5","SYFY",0.949108868590817,6
"110","ALMIGHTY JOHNSONS","5","SYFY",0.817780540845435,11
"111","ALMIGHTY JOHNSONS","5","SYFY",0.782763648264419,12
"112","ALMIGHTY JOHNSONS","5","SYFY",0.7450950351607,13
"113","ALMIGHTY JOHNSONS","5","SYFY",0.704907560497769,14
"114","ALMIGHTY JOHNSONS","5","SYFY",0.662342778200511,15
"115","ALMIGHTY JOHNSONS","5","SYFY",0.61755039533054,16
