"","Show_Name","s1_cluster","Network","dct_values","period"
"1","12 MONKEYS","2","SYFY",-0.912250526028976,93
"2","12 MONKEYS","2","SYFY",-0.908693593691927,94
"3","12 MONKEYS","2","SYFY",-0.905581843798896,95
"4","12 MONKEYS","2","SYFY",-0.902944088670396,96
"5","12 MONKEYS","2","SYFY",-0.900804539708793,97
"6","12 MONKEYS","2","SYFY",-0.899182698226677,98
"7","12 MONKEYS","2","SYFY",-0.898093267571671,99
"8","12 MONKEYS","2","SYFY",-0.897546086905294,100
"9","12 MONKEYS","2","SYFY",0.579055650128105,20
"10","12 MONKEYS","2","SYFY",0.53906443027288,21
"11","12 MONKEYS","2","SYFY",0.497910264676944,22
"12","12 MONKEYS","2","SYFY",0.45570149647293,23
"13","12 MONKEYS","2","SYFY",0.412548467828168,24
"14","12 MONKEYS","2","SYFY",0.368563139973268,25
"15","12 MONKEYS","2","SYFY",0.323858708920814,26
"16","12 MONKEYS","2","SYFY",0.278549218333999,27
"17","12 MONKEYS","2","SYFY",0.232749171014162,28
"18","12 MONKEYS","2","SYFY",0.186573140479757,29
"19","12 MONKEYS","2","SYFY",0.14013538410707,30
"20","12 MONKEYS","2","SYFY",0.0935494592949342,31
"21","12 MONKEYS","2","SYFY",0.0469278441021097,32
"22","12 MONKEYS","2","SYFY",0.000381563786584715,33
"23","12 MONKEYS","2","SYFY",-0.0459801753488464,34
"24","12 MONKEYS","2","SYFY",-0.0920503434307475,35
"25","12 MONKEYS","2","SYFY",-0.137724434470678,36
"26","12 MONKEYS","2","SYFY",-0.182900802505079,37
"27","12 MONKEYS","2","SYFY",-0.227480985168032,38
"28","12 MONKEYS","2","SYFY",-0.271370013496526,39
"29","12 MONKEYS","2","SYFY",-0.314476706823281,40
"30","12 MONKEYS","2","SYFY",1,1
"31","12 MONKEYS","2","SYFY",0.997580170439363,2
"32","12 MONKEYS","2","SYFY",0.992747290074209,3
"33","12 MONKEYS","2","SYFY",0.985514892398966,4
"34","12 MONKEYS","2","SYFY",0.975903217702851,5
"35","12 MONKEYS","2","SYFY",0.96393914138443,6
"36","12 MONKEYS","2","SYFY",0.949656078799111,7
"37","12 MONKEYS","2","SYFY",0.933093867004298,8
"38","12 MONKEYS","2","SYFY",0.914298623855499,9
"39","12 MONKEYS","2","SYFY",0.893322584993308,10
"40","12 MONKEYS","2","SYFY",0.870223919345941,11
"41","12 MONKEYS","2","SYFY",0.845066523853993,12
"42","12 MONKEYS","2","SYFY",0.817919798203647,13
"43","12 MONKEYS","2","SYFY",0.788858400430759,14
"44","12 MONKEYS","2","SYFY",0.757961984331259,15
"45","12 MONKEYS","2","SYFY",0.725314919682549,16
"46","12 MONKEYS","2","SYFY",0.691005996345909,17
"47","12 MONKEYS","2","SYFY",0.655128113381167,18
"48","12 MONKEYS","2","SYFY",0.617777954361452,19
"49","12 MONKEYS","2","SYFY",-0.914737862234138,60
"50","12 MONKEYS","2","SYFY",-0.929200773188178,61
"51","12 MONKEYS","2","SYFY",-0.942187577227412,62
"52","12 MONKEYS","2","SYFY",-0.953730030318293,63
"53","12 MONKEYS","2","SYFY",-0.963864608948261,64
"54","12 MONKEYS","2","SYFY",-0.972632285216722,65
"55","12 MONKEYS","2","SYFY",-0.980078285230613,66
"56","12 MONKEYS","2","SYFY",-0.986251831836896,67
"57","12 MONKEYS","2","SYFY",-0.991205872785063,68
"58","12 MONKEYS","2","SYFY",-0.994996795469045,69
"59","12 MONKEYS","2","SYFY",-0.997684129449555,70
