"","Show_Name","s1_cluster","Network","dct_values","period"
"1","12 MONKEYS","2","SYFY",0.778560396370794,15
"2","12 MONKEYS","2","SYFY",0.748588873247733,16
"3","12 MONKEYS","2","SYFY",0.717062999759992,17
"4","12 MONKEYS","2","SYFY",0.684063028501083,18
"5","12 MONKEYS","2","SYFY",0.649672528002639,19
"6","12 MONKEYS","2","SYFY",0.613978098982564,20
"7","12 MONKEYS","2","SYFY",0.577069081049923,21
"8","12 MONKEYS","2","SYFY",0.539037250976193,22
"9","12 MONKEYS","2","SYFY",0.499976513673515,23
"10","12 MONKEYS","2","SYFY",0.459982587047001,24
"11","12 MONKEYS","2","SYFY",0.419152681910143,25
"12","12 MONKEYS","2","SYFY",0.377585178169614,26
"13","12 MONKEYS","2","SYFY",0.335379298498375,27
"14","12 MONKEYS","2","SYFY",0.292634780723841,28
"15","12 MONKEYS","2","SYFY",0.249451550160883,29
"16","12 MONKEYS","2","SYFY",0.205929393117747,30
"17","12 MONKEYS","2","SYFY",0.162167632796439,31
"18","12 MONKEYS","2","SYFY",0.118264808797831,32
"19","12 MONKEYS","2","SYFY",0.0743183614258178,33
"20","12 MONKEYS","2","SYFY",0.030424321964168,34
"21","12 MONKEYS","2","SYFY",-0.013322989925427,35
"22","12 MONKEYS","2","SYFY",-0.0568312605652664,36
"23","12 MONKEYS","2","SYFY",-0.100010467298654,37
"24","12 MONKEYS","2","SYFY",-0.142773153155351,38
"25","12 MONKEYS","2","SYFY",-0.185034690141033,39
"26","12 MONKEYS","2","SYFY",-0.226713530192468,40
"27","12 MONKEYS","2","SYFY",-0.26773144288995,41
"28","12 MONKEYS","2","SYFY",-0.308013739071853,42
"29","12 MONKEYS","2","SYFY",-0.347489479552829,43
"30","12 MONKEYS","2","SYFY",-0.386091668206828,44
"31","12 MONKEYS","2","SYFY",-0.423757428738698,45
"32","12 MONKEYS","2","SYFY",-0.460428164533176,46
"33","12 MONKEYS","2","SYFY",-0.496049701037593,47
"34","12 MONKEYS","2","SYFY",-0.530572410204046,48
"35","12 MONKEYS","2","SYFY",-0.563951316588135,49
"36","12 MONKEYS","2","SYFY",-0.596146184774102,50
"37","12 MONKEYS","2","SYFY",-0.627121587870249,51
"38","12 MONKEYS","2","SYFY",-0.656846956893427,52
"39","12 MONKEYS","2","SYFY",-0.685296610936928,53
"40","12 MONKEYS","2","SYFY",-0.71244976809202,54
"41","12 MONKEYS","2","SYFY",-0.738290537169263,55
"42","12 MONKEYS","2","SYFY",-0.762807890341384,56
"43","12 MONKEYS","2","SYFY",-0.785995616904569,57
"44","12 MONKEYS","2","SYFY",-0.807852258429248,58
"45","12 MONKEYS","2","SYFY",-0.828381025644473,59
"46","12 MONKEYS","2","SYFY",-0.847589697471627,60
"47","12 MONKEYS","2","SYFY",-0.865490502693065,61
"48","12 MONKEYS","2","SYFY",-0.88209998480917,62
"49","12 MONKEYS","2","SYFY",-0.897438850702904,63
"50","12 MONKEYS","2","SYFY",-0.911531803794038,64
"51","12 MONKEYS","2","SYFY",-0.924407362425518,65
"52","12 MONKEYS","2","SYFY",-0.936097664281742,66
"53","12 MONKEYS","2","SYFY",-0.946638257692557,67
"54","12 MONKEYS","2","SYFY",-0.956067880727392,68
"55","12 MONKEYS","2","SYFY",-0.964428229030897,69
"56","12 MONKEYS","2","SYFY",-0.971763713394584,70
"57","12 MONKEYS","2","SYFY",-0.97812120809807,71
"58","12 MONKEYS","2","SYFY",-0.983549791088492,72
"59","12 MONKEYS","2","SYFY",-0.988100477097333,73
"60","12 MONKEYS","2","SYFY",-0.991825944820171,74
"61","12 MONKEYS","2","SYFY",-0.994780259306579,75
"62","12 MONKEYS","2","SYFY",-0.997018590724595,76
"63","12 MONKEYS","2","SYFY",-0.998596930676622,77
"64","12 MONKEYS","2","SYFY",-0.999571807251438,78
"65","12 MONKEYS","2","SYFY",-1,79
"66","12 MONKEYS","2","SYFY",-0.999938256021016,80
"67","12 MONKEYS","2","SYFY",-0.999443008335835,81
"68","12 MONKEYS","2","SYFY",-0.998570097720989,82
"69","12 MONKEYS","2","SYFY",-0.997374499150926,83
"70","12 MONKEYS","2","SYFY",-0.995910053983019,84
"71","12 MONKEYS","2","SYFY",-0.99422920899198,85
"72","12 MONKEYS","2","SYFY",-0.992382763331427,86
"73","12 MONKEYS","2","SYFY",-0.990419624466693,87
"74","12 MONKEYS","2","SYFY",-0.988386574085108,88
"75","12 MONKEYS","2","SYFY",-0.986328044948131,89
"76","12 MONKEYS","2","SYFY",-0.984285909604014,90
"77","12 MONKEYS","2","SYFY",-0.982299281830317,91
"78","12 MONKEYS","2","SYFY",-0.980404331622747,92
"79","12 MONKEYS","2","SYFY",-0.978634114490739,93
"80","12 MONKEYS","2","SYFY",-0.977018415761036,94
"81","12 MONKEYS","2","SYFY",-0.975583610528673,95
"82","12 MONKEYS","2","SYFY",-0.974352539830246,96
"83","12 MONKEYS","2","SYFY",-0.973344403547657,97
"84","12 MONKEYS","2","SYFY",-0.972574670481716,98
"85","12 MONKEYS","2","SYFY",-0.972055005964458,99
"86","12 MONKEYS","2","SYFY",-0.971793217307065,100
"87","12 MONKEYS","2","SYFY",0.978010251581269,5
"88","12 MONKEYS","2","SYFY",0.967087939657338,6
"89","12 MONKEYS","2","SYFY",0.954044710921018,7
"90","12 MONKEYS","2","SYFY",0.938914862521399,8
"91","12 MONKEYS","2","SYFY",0.921738106387657,9
"92","12 MONKEYS","2","SYFY",0.902559432240477,10
"93","12 MONKEYS","2","SYFY",0.881428952538132,11
"94","12 MONKEYS","2","SYFY",0.858401729946918,12
"95","12 MONKEYS","2","SYFY",0.833537587991947,13
"96","12 MONKEYS","2","SYFY",1,1
"97","12 MONKEYS","2","SYFY",0.997792289494604,2
"98","12 MONKEYS","2","SYFY",0.993382701671273,3
"99","12 MONKEYS","2","SYFY",0.986782882725853,4
"100","12 MONKEYS","2","SYFY",0.806900905607969,14
"101","ALMIGHTY JOHNSONS","2","SYFY",1,1
"102","ALMIGHTY JOHNSONS","2","SYFY",0.991826567250606,3
"103","ALMIGHTY JOHNSONS","2","SYFY",0.983677911000861,4
"104","ALMIGHTY JOHNSONS","2","SYFY",0.972851483471065,5
"105","ALMIGHTY JOHNSONS","2","SYFY",0.997272766120018,2
"106","ALMIGHTY JOHNSONS","2","SYFY",0.943304381654628,7
"107","ALMIGHTY JOHNSONS","2","SYFY",0.924673014665421,8
"108","ALMIGHTY JOHNSONS","2","SYFY",0.903542165479327,9
"109","ALMIGHTY JOHNSONS","2","SYFY",0.959380059202796,6
"110","ALMIGHTY JOHNSONS","2","SYFY",0.8540438111802,11
"111","ALMIGHTY JOHNSONS","2","SYFY",0.825824961096743,12
"112","ALMIGHTY JOHNSONS","2","SYFY",0.79540339828178,13
"113","ALMIGHTY JOHNSONS","2","SYFY",0.762869950827443,14
"114","ALMIGHTY JOHNSONS","2","SYFY",0.728321476793669,15
"115","ALMIGHTY JOHNSONS","2","SYFY",0.691860513076502,16
