"","Show_Name","s1_cluster","Network","dct_values","period"
"1","12 MONKEYS","5","SYFY",-0.939224062815666,93
"2","12 MONKEYS","5","SYFY",-0.936344746218826,94
"3","12 MONKEYS","5","SYFY",-0.933818285143565,95
"4","12 MONKEYS","5","SYFY",-0.931671440948697,96
"5","12 MONKEYS","5","SYFY",-0.929926703781842,97
"6","12 MONKEYS","5","SYFY",-0.928602189987477,98
"7","12 MONKEYS","5","SYFY",-0.927711559526696,99
"8","12 MONKEYS","5","SYFY",-0.927263953745506,100
"9","12 MONKEYS","5","SYFY",0.590578678100375,20
"10","12 MONKEYS","5","SYFY",0.551599156318673,21
"11","12 MONKEYS","5","SYFY",0.511468661879152,22
"12","12 MONKEYS","5","SYFY",0.470290651094747,23
"13","12 MONKEYS","5","SYFY",0.428170517471662,24
"14","12 MONKEYS","5","SYFY",0.385215232137204,25
"15","12 MONKEYS","5","SYFY",0.341532980153918,26
"16","12 MONKEYS","5","SYFY",0.297232794097563,27
"17","12 MONKEYS","5","SYFY",0.252424186285326,28
"18","12 MONKEYS","5","SYFY",0.207216781043958,29
"19","12 MONKEYS","5","SYFY",0.161719948405516,30
"20","12 MONKEYS","5","SYFY",0.11604244061085,31
"21","12 MONKEYS","5","SYFY",0.0702920327881926,32
"22","12 MONKEYS","5","SYFY",0.0245751691559177,33
"23","12 MONKEYS","5","SYFY",-0.0210033839248036,34
"24","12 MONKEYS","5","SYFY",-0.0663408767504595,35
"25","12 MONKEYS","5","SYFY",-0.111336905665257,36
"26","12 MONKEYS","5","SYFY",-0.155893731816066,37
"27","12 MONKEYS","5","SYFY",-0.199916588090644,38
"28","12 MONKEYS","5","SYFY",-0.243313973105637,39
"29","12 MONKEYS","5","SYFY",-0.285997931162992,40
"30","12 MONKEYS","5","SYFY",1,1
"31","12 MONKEYS","5","SYFY",0.99765041737786,2
"32","12 MONKEYS","5","SYFY",0.992957710256691,3
"33","12 MONKEYS","5","SYFY",0.985934772173138,4
"34","12 MONKEYS","5","SYFY",0.976600886745085,5
"35","12 MONKEYS","5","SYFY",0.964981659890096,6
"36","12 MONKEYS","5","SYFY",0.951108929853862,7
"37","12 MONKEYS","5","SYFY",0.93502065539281,8
"38","12 MONKEYS","5","SYFY",0.916760782538494,9
"39","12 MONKEYS","5","SYFY",0.896379090453261,10
"40","12 MONKEYS","5","SYFY",0.873931016966452,11
"41","12 MONKEYS","5","SYFY",0.849477464458026,12
"42","12 MONKEYS","5","SYFY",0.823084586831269,13
"43","12 MONKEYS","5","SYFY",0.794823558388404,14
"44","12 MONKEYS","5","SYFY",0.764770325491683,15
