"","Show_Name","s1_cluster","Network","dct_values","period"
"1","12 MONKEYS","4","SYFY",0.769214654733867,15
"2","12 MONKEYS","4","SYFY",0.738026688511721,16
"3","12 MONKEYS","4","SYFY",0.705234763525573,17
"4","12 MONKEYS","4","SYFY",0.670924754148908,18
"5","12 MONKEYS","4","SYFY",0.635186059704333,19
"6","12 MONKEYS","4","SYFY",0.598111297048266,20
"7","12 MONKEYS","4","SYFY",0.559795982846555,21
"8","12 MONKEYS","4","SYFY",0.520338206747778,22
"9","12 MONKEYS","4","SYFY",0.47983829669459,23
"10","12 MONKEYS","4","SYFY",0.438398477642232,24
"11","12 MONKEYS","4","SYFY",0.39612252497714,25
"12","12 MONKEYS","4","SYFY",0.353115413947348,26
"13","12 MONKEYS","4","SYFY",0.309482966429998,27
"14","12 MONKEYS","4","SYFY",0.265331496369771,28
"15","12 MONKEYS","4","SYFY",0.220767455225268,29
"16","12 MONKEYS","4","SYFY",0.175897078758448,30
"17","12 MONKEYS","4","SYFY",0.130826036495055,31
"18","12 MONKEYS","4","SYFY",0.0856590851716401,32
"19","12 MONKEYS","4","SYFY",0.0404997274672803,33
"20","12 MONKEYS","4","SYFY",-0.00455012270433908,34
"21","12 MONKEYS","4","SYFY",-0.0493904670943818,35
"22","12 MONKEYS","4","SYFY",-0.093923540994034,36
"23","12 MONKEYS","4","SYFY",-0.138054120906661,37
"24","12 MONKEYS","4","SYFY",-0.181689820879828,38
"25","12 MONKEYS","4","SYFY",-0.224741376406146,39
"26","12 MONKEYS","4","SYFY",-0.267122914852137,40
"27","12 MONKEYS","4","SYFY",-0.30875221142867,41
"28","12 MONKEYS","4","SYFY",-0.349550929774584,42
"29","12 MONKEYS","4","SYFY",-0.389444846286865,43
"30","12 MONKEYS","4","SYFY",-0.428364057395749,44
"31","12 MONKEYS","4","SYFY",-0.466243169051266,45
"32","12 MONKEYS","4","SYFY",-0.503021467758662,46
"33","12 MONKEYS","4","SYFY",-0.538643072573605,47
"34","12 MONKEYS","4","SYFY",-0.57305706754378,48
"35","12 MONKEYS","4","SYFY",-0.606217614161136,49
"36","12 MONKEYS","4","SYFY",-0.638084043468298,50
"37","12 MONKEYS","4","SYFY",-0.668620927543289,51
"38","12 MONKEYS","4","SYFY",-0.697798130168288,52
"39","12 MONKEYS","4","SYFY",-0.725590836570442,53
"40","12 MONKEYS","4","SYFY",-0.751979562205373,54
"41","12 MONKEYS","4","SYFY",-0.776950140636698,55
"42","12 MONKEYS","4","SYFY",-0.800493690647248,56
"43","12 MONKEYS","4","SYFY",-0.822606562799416,57
"44","12 MONKEYS","4","SYFY",-0.843290265742858,58
"45","12 MONKEYS","4","SYFY",-0.862551372647322,59
"46","12 MONKEYS","4","SYFY",-0.880401408216331,60
"47","12 MONKEYS","4","SYFY",-0.896856716813536,61
"48","12 MONKEYS","4","SYFY",-0.91193831230743,62
"49","12 MONKEYS","4","SYFY",-0.925671710311555,63
"50","12 MONKEYS","4","SYFY",-0.938086743565983,64
"51","12 MONKEYS","4","SYFY",-0.949217361271495,65
"52","12 MONKEYS","4","SYFY",-0.959101413250242,66
"53","12 MONKEYS","4","SYFY",-0.967780419865477,67
"54","12 MONKEYS","4","SYFY",-0.975299328688041,68
"55","12 MONKEYS","4","SYFY",-0.981706258948345,69
"56","12 MONKEYS","4","SYFY",-0.987052234859526,70
"57","12 MONKEYS","4","SYFY",-0.991390908939983,71
"58","12 MONKEYS","4","SYFY",-0.99477827650154,72
