"","Show_Name","cluster_kmeans_5","Network","Season_num","dct_values","period"
"1","12 MONKEYS","1","SYFY",1,-0.894846520122371,100
"2","12 MONKEYS","1","SYFY",1,0.706486079413801,114
"3","12 MONKEYS","1","SYFY",1,0.619568486726311,116
"4","12 MONKEYS","1","SYFY",1,0.783939077900258,112
"5","12 MONKEYS","1","SYFY",2,-0.490470011004061,35
"6","12 MONKEYS","1","SYFY",1,0.664137217773442,115
"7","12 MONKEYS","1","SYFY",1,-0.895402139807864,99
"8","12 MONKEYS","1","SYFY",1,0.989806137871298,103
"9","12 MONKEYS","1","SYFY",1,0.966160564815401,105
"10","12 MONKEYS","1","SYFY",1,0.850841229482187,110
"11","12 MONKEYS","1","SYFY",1,0.818771391731286,111
"12","12 MONKEYS","1","SYFY",1,-0.058535605696213,191
"13","12 MONKEYS","1","SYFY",1,-0.5623649771224,138
"14","12 MONKEYS","1","SYFY",1,1,101
"15","12 MONKEYS","1","SYFY",1,0.996598033728839,102
"16","12 MONKEYS","1","SYFY",2,-0.590999307737174,37
"17","12 MONKEYS","1","SYFY",1,0.57293569834556,117
"18","12 MONKEYS","1","SYFY",1,-0.608230902565362,139
"19","12 MONKEYS","1","SYFY",1,-0.0813692204082002,190
"20","12 MONKEYS","1","SYFY",1,0.949390499823929,106
"21","12 MONKEYS","1","SYFY",1,0.929397409259383,107
"22","12 MONKEYS","1","SYFY",1,0.979648339664739,104
"23","12 MONKEYS","1","SYFY",2,-0.541727109657441,36
"24","12 MONKEYS","1","SYFY",1,0.259310730152081,123
"25","12 MONKEYS","1","SYFY",1,0.203092346038746,124
"26","12 MONKEYS","1","SYFY",1,-0.0376799188588781,192
"27","12 MONKEYS","1","SYFY",1,-0.83642029323666,145
"28","12 MONKEYS","1","SYFY",1,-0.652061953930569,140
"29","12 MONKEYS","1","SYFY",1,-0.693726765958285,141
"30","12 MONKEYS","1","SYFY",1,-0.733102972626861,142
"31","12 MONKEYS","1","SYFY",1,-0.0188968077539323,193
"32","12 MONKEYS","1","SYFY",1,-0.804547712781883,144
"33","12 MONKEYS","1","SYFY",1,-0.190279441591273,186
"34","12 MONKEYS","1","SYFY",1,-0.160656716615988,187
"35","12 MONKEYS","1","SYFY",1,0.524401582609235,118
"36","12 MONKEYS","1","SYFY",1,0.746466772581326,113
"37","12 MONKEYS","1","SYFY",1,-0.909783575556463,93
"38","12 MONKEYS","1","SYFY",1,-0.46509606290303,136
"39","12 MONKEYS","1","SYFY",1,-0.514604064730685,137
"40","12 MONKEYS","1","SYFY",1,-0.903007837748246,95
"41","12 MONKEYS","1","SYFY",1,-0.00227140048349783,194
"42","12 MONKEYS","1","SYFY",1,0.0121210414230706,195
"43","12 MONKEYS","1","SYFY",1,0.0242154295540935,196
"44","12 MONKEYS","1","SYFY",1,-0.770077648561499,143
"45","12 MONKEYS","1","SYFY",1,0.0413021042066406,198
"46","12 MONKEYS","1","SYFY",1,0.474135166208155,119
"47","12 MONKEYS","1","SYFY",1,0.422311127694653,120
"48","12 MONKEYS","1","SYFY",1,-0.132546394865271,188
"49","12 MONKEYS","1","SYFY",1,-0.106076981091425,189
"50","12 MONKEYS","1","SYFY",2,-0.792788616098662,151
"51","12 MONKEYS","1","SYFY",1,0.90625190869749,108
"52","12 MONKEYS","1","SYFY",1,0.88003569421251,109
"53","12 MONKEYS","1","SYFY",2,-0.326635619063733,32
"54","12 MONKEYS","1","SYFY",1,-0.900328472425165,96
"55","12 MONKEYS","1","SYFY",1,-0.898155460340238,97
"56","12 MONKEYS","1","SYFY",1,-0.896508419138639,98
"57","12 MONKEYS","1","SYFY",1,0.0339571136690695,197
"58","12 MONKEYS","1","SYFY",2,-0.636282617578513,146
"59","12 MONKEYS","1","SYFY",2,-0.670915278090334,147
"60","12 MONKEYS","1","SYFY",2,-0.703926916223852,148
"61","12 MONKEYS","1","SYFY",1,0.369109131495206,121
"62","12 MONKEYS","1","SYFY",2,-0.764901469798656,150
"63","12 MONKEYS","1","SYFY",1,0.314713143392192,122
"64","12 MONKEYS","1","SYFY",2,0.988994502991615,3
"65","12 MONKEYS","1","SYFY",2,0.978030185516271,4
"66","12 MONKEYS","1","SYFY",1,0.146250609001317,125
