"","Network","Broadcast_Year","Cable_Qtr","DOW","Date","Show_Name","Episode_num","Season_num","Start_Time","End_Time","Genre","C3_Duration","C3_Impressions","LS_Duration","LS_Impressions","C3_Rebase","C3_Growth","LS_Rebase","LS_Growth","diff_C3_LS","higher_imps","avg_C3_LS","diff_C3_LS_rebase","diff_C3_LS_growth","avg_C3_LS_rebase","avg_C3_LS_growth"
"1","BRVO",2014,"1Q","Tue",2014-01-07,"100 DAYS OF SUMMER",1,1,"22:00:00","23:00:00","GD",717,410604.170153417,60,449805,0,NA,0,NA,-39200.829846583,"LS",430204.585076709,0,NA,0,NA
"2","BRVO",2014,"1Q","Tue",2014-01-14,"100 DAYS OF SUMMER",2,1,"22:00:00","23:00:00","GD",717,386784.680613668,60,398177.5,-23819.489539749,1.06158333236455,-51627.5,1.12965951114767,-11392.8193863319,"LS",392481.090306834,27808.010460251,3.44083659340834,-37723.4947698745,1.09611544530816
"3","BRVO",2014,"1Q","Tue",2014-01-21,"100 DAYS OF SUMMER",3,1,"22:00:00","23:00:00","GD",717,369362.09902371,60,383529.5,-41242.0711297072,1.04716938103831,-66275.5,1.03819262925016,-14167.4009762901,"LS",376445.799511855,25033.4288702928,0.804157333119775,-53758.7855648536,1.04259654594572
"4","BRVO",2014,"1Q","Tue",2014-01-28,"100 DAYS OF SUMMER",4,1,"22:00:00","23:00:00","GD",719,308884.959666203,60,335936,-101719.210487214,1.19579179064873,-113869,1.14167430701086,-27051.0403337969,"LS",322410.479833102,12149.789512786,0.523728507350222,-107794.105243607,1.1675979009948
"5","BRVO",2014,"1Q","Tue",2014-02-04,"100 DAYS OF SUMMER",5,1,"22:00:00","23:00:00","GD",717,380183.447698745,60,421432,-30420.7224546723,0.812462934764487,-28373,0.797129786062757,-41248.5523012552,"LS",400807.723849372,-2047.72245467227,0.655805811952672,-29396.8612273362,0.80440186315937
"6","BRVO",2014,"1Q","Tue",2014-02-11,"100 DAYS OF SUMMER",6,1,"22:00:00","23:00:00","GD",714,359369.80952381,60,347007,-51234.3606296075,1.05791704707336,-102798,1.21447694138735,12362.8095238095,"C3",353188.404761905,51563.6393703925,-3.33650310002873,-77016.1803148038,1.13482696047049
"7","BRVO",2014,"1Q","Tue",2014-02-18,"100 DAYS OF SUMMER",7,1,"22:00:00","23:00:00","GD",716,340517.541899441,60,355396,-70086.6282539757,1.05536357251732,-94409,0.976395344911029,-14878.4581005587,"LS",347956.770949721,24322.3717460243,-0.830920075202236,-82247.8141269879,1.01503529820071
"8","ENT",2013,"1Q","Mon",2013-02-25,"AFTER LATELY",1,3,"22:30:00","23:00:00","GV",359,259041,30,233978,0,NA,0,NA,25063,"C3",246509.5,0,NA,0,NA
"9","ENT",2013,"1Q","Mon",2013-03-04,"AFTER LATELY",2,3,"22:30:00","23:00:00","GV",298,315249,30,271137,56208,0.821702844418222,37159,0.862951201790977,44112,"C3",293193,19049,0.568167392092855,46683.5,0.840775530111565
"10","ENT",2013,"1Q","Mon",2013-03-11,"AFTER LATELY",3,3,"22:30:00","23:00:00","GV",329,226798,30,197860,-32243,1.38999902997381,-36118,1.37034772061053,28938,"C3",212329,3875,1.52436243002281,-34180.5,1.38084293714
"11","ENT",2013,"1Q","Mon",2013-03-18,"AFTER LATELY",4,3,"22:30:00","23:00:00","GV",359,214098,30,172368,-44943,1.05931862978636,-61610,1.14789288034902,41730,"C3",193233,16667,0.693457943925234,-53276.5,1.09882369988563
