"","Network","Show_Name","dct_values","period"
"1","BRVO","BELOW DECK",1,1
"2","BRVO","BELOW DECK",0.998980909645804,2
"3","BRVO","BELOW DECK",0.996943829990541,3
"4","BRVO","BELOW DECK",0.993890961677627,4
"5","BRVO","BELOW DECK",0.989825602017993,5
"6","BRVO","BELOW DECK",0.98475214061326,6
"7","BRVO","BELOW DECK",0.978676053533583,7
"8","BRVO","BELOW DECK",0.971603896061802,8
"9","BRVO","BELOW DECK",0.963543294018388,9
"10","BRVO","BELOW DECK",0.954502933684396,10
"11","BRVO","BELOW DECK",0.944492550342512,11
"12","BRVO","BELOW DECK",0.933522915458831,12
"13","BRVO","BELOW DECK",0.921605822530725,13
"14","BRVO","BELOW DECK",0.908754071628652,14
"15","BRVO","BELOW DECK",0.89498145266223,15
"16","BRVO","BELOW DECK",0.880302727403306,16
"17","BRVO","BELOW DECK",0.864733610300958,17
"18","BRVO","BELOW DECK",0.848290748125619,18
"19","BRVO","BELOW DECK",0.830991698481526,19
"20","BRVO","BELOW DECK",0.812854907228675,20
"21","BRVO","BELOW DECK",0.79389968485726,21
"22","BRVO","BELOW DECK",0.774146181859369,22
"23","BRVO","BELOW DECK",0.753615363144151,23
"24","BRVO","BELOW DECK",0.732328981544255,24
"25","BRVO","BELOW DECK",0.710309550462555,25
"26","BRVO","BELOW DECK",0.68758031570942,26
"27","BRVO","BELOW DECK",0.664165226581731,27
"28","BRVO","BELOW DECK",0.640088906235845,28
"29","BRVO","BELOW DECK",0.615376621407349,29
"30","BRVO","BELOW DECK",0.590054251531111,30
"31","BRVO","BELOW DECK",0.564148257315553,31
"32","BRVO","BELOW DECK",0.537685648825388,32
"33","BRVO","BELOW DECK",0.510693953127246,33
"34","BRVO","BELOW DECK",0.483201181552564,34
"35","BRVO","BELOW DECK",0.455235796632087,35
"36","BRVO","BELOW DECK",0.426826678755963,36
"37","BRVO","BELOW DECK",0.398003092613096,37
"38","BRVO","BELOW DECK",0.368794653462807,38
"39","BRVO","BELOW DECK",0.339231293291253,39
"40","BRVO","BELOW DECK",0.309343226904196,40
"41","BRVO","BELOW DECK",0.279160918006856,41
"42","BRVO","BELOW DECK",0.248715045320464,42
"43","BRVO","BELOW DECK",0.218036468784077,43
"44","BRVO","BELOW DECK",0.187156195888876,44
"45","BRVO","BELOW DECK",0.156105348190865,45
"46","BRVO","BELOW DECK",0.124915128046377,46
"47","BRVO","BELOW DECK",0.0936167856133261,47
"48","BRVO","BELOW DECK",0.0622415861594521,48
"49","BRVO","BELOW DECK",0.030820777717129,49
"50","BRVO","BELOW DECK",-0.000614440877457545,50
"51","BRVO","BELOW DECK",-0.0320329515247865,51
"52","BRVO","BELOW DECK",-0.063403747948053,52
"53","BRVO","BELOW DECK",-0.094695966292619,53
"54","BRVO","BELOW DECK",-0.125878915208662,54
"55","BRVO","BELOW DECK",-0.156922105388854,55
"56","BRVO","BELOW DECK",-0.187795278534829,56
"57","BRVO","BELOW DECK",-0.218468435728329,57
"58","BRVO","BELOW DECK",-0.248911865184891,58
"59","BRVO","BELOW DECK",-0.27909616936999,59
"60","BRVO","BELOW DECK",-0.308992291459606,60
"61","BRVO","BELOW DECK",-0.33857154112913,61
"62","BRVO","BELOW DECK",-0.367805619656586,62
"63","BRVO","BELOW DECK",-0.396666644328066,63
"64","BRVO","BELOW DECK",-0.425127172135154,64
"65","BRVO","BELOW DECK",-0.453160222756078,65
"66","BRVO","BELOW DECK",-0.48073930081406,66
"67","BRVO","BELOW DECK",-0.50783841740815,67
"68","BRVO","BELOW DECK",-0.534432110913524,68
"69","BRVO","BELOW DECK",-0.560495467049828,69
"70","BRVO","BELOW DECK",-0.586004138217753,70
"71","BRVO","BELOW DECK",-0.610934362105475,71
"72","BRVO","BELOW DECK",-0.635262979567971,72
"73","BRVO","BELOW DECK",-0.658967451783595,73
"74","BRVO","BELOW DECK",-0.682025876693438,74
"75","BRVO","BELOW DECK",-0.704417004730168,75
"76","BRVO","BELOW DECK",-0.726120253844049,76
"77","BRVO","BELOW DECK",-0.747115723834789,77
"78","BRVO","BELOW DECK",-0.767384209998645,78
"79","BRVO","BELOW DECK",-0.786907216100992,79
"80","BRVO","BELOW DECK",-0.805666966685141,80
"81","BRVO","BELOW DECK",-0.823646418728716,81
"82","BRVO","BELOW DECK",-0.840829272659331,82
"83","BRVO","BELOW DECK",-0.857199982741584,83
"84","BRVO","BELOW DECK",-0.872743766847616,84
"85","BRVO","BELOW DECK",-0.887446615623577,85
"86","BRVO","BELOW DECK",-0.90129530106436,86
"87","BRVO","BELOW DECK",-0.914277384508839,87
"88","BRVO","BELOW DECK",-0.92638122406771,88
"89","BRVO","BELOW DECK",-0.937595981495739,89
"90","BRVO","BELOW DECK",-0.947911628519822,90
"91","BRVO","BELOW DECK",-0.957318952633888,91
