"","Network","Show_Name","Season_num","dct_values","period"
"1","BRVO","BELOW DECK",1,-1,1
"2","BRVO","BELOW DECK",1,-0.99649102711259,2
"3","BRVO","BELOW DECK",1,-0.989485777818679,3
"4","BRVO","BELOW DECK",1,-0.97900959610958,4
"5","BRVO","BELOW DECK",1,-0.965100375738188,5
"6","BRVO","BELOW DECK",1,-0.947808414075315,6
"7","BRVO","BELOW DECK",1,-0.927196218144606,7
"8","BRVO","BELOW DECK",1,-0.903338263597067,8
"9","BRVO","BELOW DECK",1,-0.876320707570785,9
"10","BRVO","BELOW DECK",1,-0.846241056562461,10
"11","BRVO","BELOW DECK",1,-0.81320779061356,11
"12","BRVO","BELOW DECK",1,-0.777339945285558,12
"13","BRVO","BELOW DECK",1,-0.738766653063906,13
"14","BRVO","BELOW DECK",1,-0.697626645989647,14
"15","BRVO","BELOW DECK",1,-0.654067721469436,15
"16","BRVO","BELOW DECK",1,-0.608246173359021,16
"17","BRVO","BELOW DECK",1,-0.560326190551245,17
"18","BRVO","BELOW DECK",1,-0.510479225426911,18
"19","BRVO","BELOW DECK",1,-0.458883334644663,19
"20","BRVO","BELOW DECK",1,-0.405722494854324,20
"21","BRVO","BELOW DECK",1,-0.351185896016043,21
"22","BRVO","BELOW DECK",1,-0.295467215095152,22
"23","BRVO","BELOW DECK",1,-0.238763872978874,23
"24","BRVO","BELOW DECK",1,-0.181276277526733,24
"25","BRVO","BELOW DECK",1,-0.123207055719874,25
"26","BRVO","BELOW DECK",1,-0.0647602779171013,26
"27","BRVO","BELOW DECK",1,-0.00614067725533252,27
"28","BRVO","BELOW DECK",1,0.0524471327491598,28
"29","BRVO","BELOW DECK",1,0.110799439336273,29
"30","BRVO","BELOW DECK",1,0.168714207317658,30
"31","BRVO","BELOW DECK",1,0.225991848533281,31
"32","BRVO","BELOW DECK",1,0.282435980939931,32
"33","BRVO","BELOW DECK",1,0.337854174364028,33
"34","BRVO","BELOW DECK",1,0.392058680004517,34
"35","BRVO","BELOW DECK",1,0.444867140836363,35
"36","BRVO","BELOW DECK",1,0.496103280141145,36
"37","BRVO","BELOW DECK",1,0.545597565478216,37
"38","BRVO","BELOW DECK",1,0.593187845507293,38
"39","BRVO","BELOW DECK",1,0.638719957181062,39
"40","BRVO","BELOW DECK",1,0.68204830094383,40
"41","BRVO","BELOW DECK",1,0.72303638169891,41
"42","BRVO","BELOW DECK",1,0.761557313443011,42
"43","BRVO","BELOW DECK",1,0.797494285609698,43
"44","BRVO","BELOW DECK",1,0.830740989315407,44
"45","BRVO","BELOW DECK",1,0.861202001860141,45
"46","BRVO","BELOW DECK",1,0.888793127999964,46
"47","BRVO","BELOW DECK",1,0.91344169667932,47
"48","BRVO","BELOW DECK",1,0.935086812087198,48
"49","BRVO","BELOW DECK",1,0.953679558081588,49
"50","BRVO","BELOW DECK",1,0.969183155210897,50
"51","BRVO","BELOW DECK",1,0.981573069748224,51
"52","BRVO","BELOW DECK",1,0.990837074343776,52
"53","BRVO","BELOW DECK",1,0.996975260091783,53
"54","BRVO","BELOW DECK",1,1,54
"55","BRVO","BELOW DECK",1,0.99993586404167,55
"56","BRVO","BELOW DECK",1,0.996819486160831,56
"57","BRVO","BELOW DECK",1,0.990699383791367,57
"58","BRVO","BELOW DECK",1,0.981635730637592,58
"59","BRVO","BELOW DECK",1,0.969700083648264,59
"60","BRVO","BELOW DECK",1,0.954975065296714,60
"61","BRVO","BELOW DECK",1,0.937554002455767,61
"62","BRVO","BELOW DECK",1,0.917540523327318,62
"63","BRVO","BELOW DECK",1,0.895048114051491,63
"64","BRVO","BELOW DECK",1,0.870199636779345,64
"65","BRVO","BELOW DECK",1,0.843126811144507,65
"66","BRVO","BELOW DECK",1,0.813969661213514,66
"67","BRVO","BELOW DECK",1,0.782875930130137,67
"68","BRVO","BELOW DECK",1,0.75000046479618,68
"69","BRVO","BELOW DECK",1,0.715504573048984,69
"70","BRVO","BELOW DECK",1,0.67955535590383,70
"71","BRVO","BELOW DECK",1,0.642325017527314,71
"72","BRVO","BELOW DECK",1,0.603990155695081,72
"73","BRVO","BELOW DECK",1,0.564731035563708,73
"74","BRVO","BELOW DECK",1,0.524730849651671,74
"75","BRVO","BELOW DECK",1,0.484174966978192,75
"76","BRVO","BELOW DECK",1,0.443250174350752,76
"77","BRVO","BELOW DECK",1,0.402143912822359,77
"78","BRVO","BELOW DECK",1,0.361043512357979,78
"79","BRVO","BELOW DECK",1,0.320135427755763,79
"80","BRVO","BELOW DECK",1,0.279604478863041,80
"81","BRVO","BELOW DECK",1,0.239633098109177,81
"82","BRVO","BELOW DECK",1,0.200400588347717,82
"83","BRVO","BELOW DECK",1,0.162082393958672,83
"84","BRVO","BELOW DECK",1,0.124849388108556,84
"85","BRVO","BELOW DECK",1,0.0888671790011086,85
"86","BRVO","BELOW DECK",1,0.0542954378757581,86
"87","BRVO","BELOW DECK",1,0.0212872514240547,87
"88","BRVO","BELOW DECK",1,-0.010011498802909,88
"89","BRVO","BELOW DECK",1,-0.0394627275308526,89
"90","BRVO","BELOW DECK",1,-0.0669367050940721,90
"91","BRVO","BELOW DECK",1,-0.0923125827411939,91
"92","BRVO","BELOW DECK",1,-0.115478881828521,92
"93","BRVO","BELOW DECK",1,-0.136333944958258,93
"94","BRVO","BELOW DECK",1,-0.1547863472702,94
"95","BRVO","BELOW DECK",1,-0.170755266253688,95
"96","BRVO","BELOW DECK",1,-0.184170808611481,96
"97","BRVO","BELOW DECK",1,-0.194974292877771,97
"98","BRVO","BELOW DECK",1,-0.203118486668337,98
"99","BRVO","BELOW DECK",1,-0.208567797620805,99
"100","BRVO","BELOW DECK",1,-0.211298417267151,100
"101","BRVO","BELOW DECK",2,1,1
"102","BRVO","BELOW DECK",2,0.997962480633585,2
"103","BRVO","BELOW DECK",2,0.993892565324298,3
"104","BRVO","BELOW DECK",2,0.987800483578885,4
"105","BRVO","BELOW DECK",2,0.979701536372138,5
"106","BRVO","BELOW DECK",2,0.969616044387956,6
"107","BRVO","BELOW DECK",2,0.957569279312279,7
"108","BRVO","BELOW DECK",2,0.94359137843778,8
"109","BRVO","BELOW DECK",2,0.927717242903145,9
"110","BRVO","BELOW DECK",2,0.909986419951612,10
"111","BRVO","BELOW DECK",2,0.890442969653674,11
"112","BRVO","BELOW DECK",2,0.869135316597484,12
"113","BRVO","BELOW DECK",2,0.846116087106983,13
"114","BRVO","BELOW DECK",2,0.821441932602233,14
"115","BRVO","BELOW DECK",2,0.795173339768455,15
"116","BRVO","BELOW DECK",2,0.767374428249597,16
"117","BRVO","BELOW DECK",2,0.738112736628975,17
"118","BRVO","BELOW DECK",2,0.70745899750302,18
"119","BRVO","BELOW DECK",2,0.675486902494826,19
"120","BRVO","BELOW DECK",2,0.642272858091264,20
"121","BRVO","BELOW DECK",2,0.607895733221166,21
"122","BRVO","BELOW DECK",2,0.572436599522402,22
"123","BRVO","BELOW DECK",2,0.535978465271923,23
"124","BRVO","BELOW DECK",2,0.498606003975755,24
"125","BRVO","BELOW DECK",2,0.460405278634575,25
"126","BRVO","BELOW DECK",2,0.421463462715379,26
"127","BRVO","BELOW DECK",2,0.381868558870684,27
"128","BRVO","BELOW DECK",2,0.341709116453353,28
"129","BRVO","BELOW DECK",2,0.301073948877944,29
"130","BRVO","BELOW DECK",2,0.260051851878082,30
"131","BRVO","BELOW DECK",2,0.218731323703871,31
"132","BRVO","BELOW DECK",2,0.177200288293951,32
"133","BRVO","BELOW DECK",2,0.135545822443162,33
"134","BRVO","BELOW DECK",2,0.0938538879694231,34
"135","BRVO","BELOW DECK",2,0.0522090698619797,35
"136","BRVO","BELOW DECK",2,0.0106943213680781,36
"137","BRVO","BELOW DECK",2,-0.0306092830538107,37
"138","BRVO","BELOW DECK",2,-0.0716227860185021,38
"139","BRVO","BELOW DECK",2,-0.11226957587651,39
"140","BRVO","BELOW DECK",2,-0.152475604933893,40
"141","BRVO","BELOW DECK",2,-0.192169596451228,41
"142","BRVO","BELOW DECK",2,-0.231283239688986,42
"143","BRVO","BELOW DECK",2,-0.269751372314623,43
"144","BRVO","BELOW DECK",2,-0.307512149537586,44
"145","BRVO","BELOW DECK",2,-0.344507199391568,45
"146","BRVO","BELOW DECK",2,-0.38068176363887,46
"147","BRVO","BELOW DECK",2,-0.415984823828992,47
"148","BRVO","BELOW DECK",2,-0.45036921210292,48
"149","BRVO","BELOW DECK",2,-0.483791706395086,49
"150","BRVO","BELOW DECK",2,-0.516213109747069,50
"151","BRVO","BELOW DECK",2,-0.547598313510124,51
"152","BRVO","BELOW DECK",2,-0.577916344277313,52
"153","BRVO","BELOW DECK",2,-0.607140394450541,53
"154","BRVO","BELOW DECK",2,-0.635247836412234,54
"155","BRVO","BELOW DECK",2,-0.662220220336259,55
"156","BRVO","BELOW DECK",2,-0.688043255736902,56
"157","BRVO","BELOW DECK",2,-0.712706776918853,57
"158","BRVO","BELOW DECK",2,-0.736204692554345,58
