"","Network","Show_Name","dct_values","period"
"1","BRVO","BELOW DECK",-1,1
"2","BRVO","BELOW DECK",-0.996382797327009,2
"3","BRVO","BELOW DECK",-0.989161774358573,3
"4","BRVO","BELOW DECK",-0.978363643916969,4
"5","BRVO","BELOW DECK",-0.964028345607791,5
"6","BRVO","BELOW DECK",-0.946208890837095,6
"7","BRVO","BELOW DECK",-0.924971157116345,7
"8","BRVO","BELOW DECK",-0.900393632463325,8
"9","BRVO","BELOW DECK",-0.872567110903514,9
"10","BRVO","BELOW DECK",-0.841594340268414,10
"11","BRVO","BELOW DECK",-0.807589623674753,11
"12","BRVO","BELOW DECK",-0.770678376250481,12
"13","BRVO","BELOW DECK",-0.730996638849236,13
"14","BRVO","BELOW DECK",-0.688690550663869,14
"15","BRVO","BELOW DECK",-0.643915782810958,15
"16","BRVO","BELOW DECK",-0.596836935111594,16
"17","BRVO","BELOW DECK",-0.54762689843794,17
"18","BRVO","BELOW DECK",-0.496466185130455,18
"19","BRVO","BELOW DECK",-0.443542230115601,19
"20","BRVO","BELOW DECK",-0.389048665468981,20
"21","BRVO","BELOW DECK",-0.333184571272685,21
"22","BRVO","BELOW DECK",-0.276153705708619,22
"23","BRVO","BELOW DECK",-0.218163717410623,23
"24","BRVO","BELOW DECK",-0.159425343167689,24
"25","BRVO","BELOW DECK",-0.100151594127559,25
"26","BRVO","BELOW DECK",-0.0405569336946898,26
"27","BRVO","BELOW DECK",0.0191435496511705,27
"28","BRVO","BELOW DECK",0.0787349713703169,28
"29","BRVO","BELOW DECK",0.138003478460144,29
"30","BRVO","BELOW DECK",0.196737072387982,30
"31","BRVO","BELOW DECK",0.254726424132648,31
"32","BRVO","BELOW DECK",0.311765678139623,32
"33","BRVO","BELOW DECK",0.367653242038773,33
"34","BRVO","BELOW DECK",0.422192559030335,34
"35","BRVO","BELOW DECK",0.475192859913894,35
"36","BRVO","BELOW DECK",0.526469891815831,36
"37","BRVO","BELOW DECK",0.575846620763024,37
"38","BRVO","BELOW DECK",0.623153905354389,38
"39","BRVO","BELOW DECK",0.668231138896295,39
"40","BRVO","BELOW DECK",0.710926857492605,40
"41","BRVO","BELOW DECK",0.751099311714996,41
"42","BRVO","BELOW DECK",0.788616999623128,42
"43","BRVO","BELOW DECK",0.823359159057098,43
"44","BRVO","BELOW DECK",0.855216217285764,44
"45","BRVO","BELOW DECK",0.884090196262866,45
"46","BRVO","BELOW DECK",0.909895071918486,46
"47","BRVO","BELOW DECK",0.932557086094851,47
"48","BRVO","BELOW DECK",0.952015009922629,48
"49","BRVO","BELOW DECK",0.968220357625673,49
"50","BRVO","BELOW DECK",0.981137549937871,50
"51","BRVO","BELOW DECK",0.990744026514718,51
"52","BRVO","BELOW DECK",0.997030306923628,52
"53","BRVO","BELOW DECK",1,53
"54","BRVO","BELOW DECK",0.999669761559733,54
"55","BRVO","BELOW DECK",0.996069200662813,55
"56","BRVO","BELOW DECK",0.989240734825489,56
"57","BRVO","BELOW DECK",0.979239394780097,57
"58","BRVO","BELOW DECK",0.966132579580465,58
"59","BRVO","BELOW DECK",0.94999976304671,59
"60","BRVO","BELOW DECK",0.930932152735274,60
"61","BRVO","BELOW DECK",0.909032302806965,61
"62","BRVO","BELOW DECK",0.884413682347778,62
"63","BRVO","BELOW DECK",0.857200200872645,63
"64","BRVO","BELOW DECK",0.827525692911127,64
"65","BRVO","BELOW DECK",0.795533363735153,65
"66","BRVO","BELOW DECK",0.761375198442071,66
"67","BRVO","BELOW DECK",0.725211336750458,67
"68","BRVO","BELOW DECK",0.68720941600114,68
"69","BRVO","BELOW DECK",0.647543884981011,69
"70","BRVO","BELOW DECK",0.606395291301889,70
"71","BRVO","BELOW DECK",0.563949545170687,71
"72","BRVO","BELOW DECK",0.520397162479782,72
"73","BRVO","BELOW DECK",0.475932490227697,73
"74","BRVO","BELOW DECK",0.43075291734942,74
"75","BRVO","BELOW DECK",0.38505807409272,75
"76","BRVO","BELOW DECK",0.339049023121441,76
"77","BRVO","BELOW DECK",0.292927445559014,77
"78","BRVO","BELOW DECK",0.246894825204524,78
"79","BRVO","BELOW DECK",0.201151634160601,79
"80","BRVO","BELOW DECK",0.155896523105927,80
"81","BRVO","BELOW DECK",0.111325519426363,81
"82","BRVO","BELOW DECK",0.0676312363868816,82
"83","BRVO","BELOW DECK",0.0250020964824496,83
"84","BRVO","BELOW DECK",-0.0163784279509374,84
"85","BRVO","BELOW DECK",-0.0563325538524596,85
"86","BRVO","BELOW DECK",-0.0946889033481139,86
"87","BRVO","BELOW DECK",-0.131283193618369,87
"88","BRVO","BELOW DECK",-0.165958897985883,88
"89","BRVO","BELOW DECK",-0.198567875601673,89
"90","BRVO","BELOW DECK",-0.228970967232901,90
"91","BRVO","BELOW DECK",-0.257038554789945,91
"92","BRVO","BELOW DECK",-0.282651082374412,92
"93","BRVO","BELOW DECK",-0.30569953678233,93
"94","BRVO","BELOW DECK",-0.326085885557604,94
"95","BRVO","BELOW DECK",-0.343723470859341,95
"96","BRVO","BELOW DECK",-0.358537357581597,96
"97","BRVO","BELOW DECK",-0.370464634345708,97
"98","BRVO","BELOW DECK",-0.379454666172144,98
"99","BRVO","BELOW DECK",-0.385469297830377,99
"100","BRVO","BELOW DECK",-0.388483007060678,100
"101","BRVO","BLOOD SWEAT HEELS",1,1
"102","BRVO","BLOOD SWEAT HEELS",0.996347364218204,2
"103","BRVO","BLOOD SWEAT HEELS",0.989055704562029,3
"104","BRVO","BLOOD SWEAT HEELS",0.978152191919175,4
"105","BRVO","BLOOD SWEAT HEELS",0.96367745051142,5
"106","BRVO","BLOOD SWEAT HEELS",0.94568539994477,6
"107","BRVO","BLOOD SWEAT HEELS",0.92424304557692,7
"108","BRVO","BLOOD SWEAT HEELS",0.899430218026285,8
"109","BRVO","BLOOD SWEAT HEELS",0.871339262846679,9
"110","BRVO","BLOOD SWEAT HEELS",0.840074681587754,10
"111","BRVO","BLOOD SWEAT HEELS",0.805752725652274,11
"112","BRVO","BLOOD SWEAT HEELS",0.76850094454694,12
"113","BRVO","BLOOD SWEAT HEELS",0.728457690302624,13
"114","BRVO","BLOOD SWEAT HEELS",0.685771580012169,14
"115","BRVO","BLOOD SWEAT HEELS",0.640600918598426,15
"116","BRVO","BLOOD SWEAT HEELS",0.593113084081413,16
"117","BRVO","BLOOD SWEAT HEELS",0.543483877760809,17
"118","BRVO","BLOOD SWEAT HEELS",0.491896841867669,18
"119","BRVO","BLOOD SWEAT HEELS",0.438542547367,19
"120","BRVO","BLOOD SWEAT HEELS",0.383617854709896,20
"121","BRVO","BLOOD SWEAT HEELS",0.327325150440035,21
"122","BRVO","BLOOD SWEAT HEELS",0.269871562653949,22
"123","BRVO","BLOOD SWEAT HEELS",0.211468158397307,23
"124","BRVO","BLOOD SWEAT HEELS",0.152329126150029,24
"125","BRVO","BLOOD SWEAT HEELS",0.0926709466113973,25
"126","BRVO","BLOOD SWEAT HEELS",0.0327115550417414,26
"127","BRVO","BLOOD SWEAT HEELS",-0.0273305015498728,27
"128","BRVO","BLOOD SWEAT HEELS",-0.0872369090628113,28
"129","BRVO","BLOOD SWEAT HEELS",-0.14679042949105,29
"130","BRVO","BLOOD SWEAT HEELS",-0.205775739328863,30
"131","BRVO","BLOOD SWEAT HEELS",-0.263980259905845,31
"132","BRVO","BLOOD SWEAT HEELS",-0.321194976393584,32
"133","BRVO","BLOOD SWEAT HEELS",-0.377215242271356,33
"134","BRVO","BLOOD SWEAT HEELS",-0.431841566096188,34
"135","BRVO","BLOOD SWEAT HEELS",-0.484880377492822,35
"136","BRVO","BLOOD SWEAT HEELS",-0.536144769361639,36
"137","BRVO","BLOOD SWEAT HEELS",-0.585455213396803,37
"138","BRVO","BLOOD SWEAT HEELS",-0.63264024611265,38
"139","BRVO","BLOOD SWEAT HEELS",-0.677537122693058,39
"140","BRVO","BLOOD SWEAT HEELS",-0.719992436105921,40
