"","Network","Show_Name","dct_values","period"
"1","BRVO","BELOW DECK",-1,1
"2","BRVO","BELOW DECK",-0.998242110183326,2
"3","BRVO","BELOW DECK",-0.99473034730706,3
"4","BRVO","BELOW DECK",-0.989472731915571,4
"5","BRVO","BELOW DECK",-0.982481262449259,5
"6","BRVO","BELOW DECK",-0.973771876528337,6
"7","BRVO","BELOW DECK",-0.963364399555931,7
"8","BRVO","BELOW DECK",-0.951282480831965,8
"9","BRVO","BELOW DECK",-0.937553517415825,9
"10","BRVO","BELOW DECK",-0.922208566021282,10
"11","BRVO","BELOW DECK",-0.905282243271641,11
"12","BRVO","BELOW DECK",-0.88681261468625,12
"13","BRVO","BELOW DECK",-0.866841072811198,13
"14","BRVO","BELOW DECK",-0.845412204947208,14
"15","BRVO","BELOW DECK",-0.822573650966037,15
"16","BRVO","BELOW DECK",-0.798375951743203,16
"17","BRVO","BELOW DECK",-0.772872388769213,17
"18","BRVO","BELOW DECK",-0.74611881553374,18
"19","BRVO","BELOW DECK",-0.71817348130706,19
"20","BRVO","BELOW DECK",-0.689096847970587,20
"21","BRVO","BELOW DECK",-0.658951400573289,21
"22","BRVO","BELOW DECK",-0.627801452313097,22
"23","BRVO","BELOW DECK",-0.595712944662072,23
"24","BRVO","BELOW DECK",-0.562753243370885,24
"25","BRVO","BELOW DECK",-0.528990931102203,25
"26","BRVO","BELOW DECK",-0.494495597453623,26
"27","BRVO","BELOW DECK",-0.459337627138951,27
"28","BRVO","BELOW DECK",-0.423587987101776,28
"29","BRVO","BELOW DECK",-0.387318013337474,29
"30","BRVO","BELOW DECK",-0.350599198198935,30
"31","BRVO","BELOW DECK",-0.313502978957491,31
"32","BRVO","BELOW DECK",-0.276100528383708,32
"33","BRVO","BELOW DECK",-0.238462548102977,33
"34","BRVO","BELOW DECK",-0.200659065468161,34
"35","BRVO","BELOW DECK",-0.162759234676042,35
"36","BRVO","BELOW DECK",-0.124831142836009,36
"37","BRVO","BELOW DECK",-0.0869416216783921,37
"38","BRVO","BELOW DECK",-0.0491560655661872,38
"39","BRVO","BELOW DECK",-0.0115382564476854,39
"40","BRVO","BELOW DECK",0.0258498036410817,40
"41","BRVO","BELOW DECK",0.0629480519461787,41
"42","BRVO","BELOW DECK",0.0996985156931232,42
"43","BRVO","BELOW DECK",0.136045453602235,43
"44","BRVO","BELOW DECK",0.17193548774962,44
"45","BRVO","BELOW DECK",0.207317725340361,45
"46","BRVO","BELOW DECK",0.242143870001038,46
"47","BRVO","BELOW DECK",0.276368322240767,47
"48","BRVO","BELOW DECK",0.309948268773214,48
"49","BRVO","BELOW DECK",0.34284376043654,49
"50","BRVO","BELOW DECK",0.375017778493604,50
"51","BRVO","BELOW DECK",0.406436289140934,51
"52","BRVO","BELOW DECK",0.437068286101724,52
"53","BRVO","BELOW DECK",0.466885821225285,53
"54","BRVO","BELOW DECK",0.495864023062754,54
"55","BRVO","BELOW DECK",0.523981103436268,55
"56","BRVO","BELOW DECK",0.551218352066054,56
"57","BRVO","BELOW DECK",0.577560119366825,57
"58","BRVO","BELOW DECK",0.6029937875712,58
"59","BRVO","BELOW DECK",0.627509730383577,59
"60","BRVO","BELOW DECK",0.651101261412642,60
"61","BRVO","BELOW DECK",0.673764571674408,61
"62","BRVO","BELOW DECK",0.695498656500154,62
"63","BRVO","BELOW DECK",0.716305232224686,63
"64","BRVO","BELOW DECK",0.736188643069857,64
"65","BRVO","BELOW DECK",0.755155758676032,65
"66","BRVO","BELOW DECK",0.773215862770104,66
"67","BRVO","BELOW DECK",0.790380533492553,67
"68","BRVO","BELOW DECK",0.806663515937793,68
"69","BRVO","BELOW DECK",0.822080587491509,69
"70","BRVO","BELOW DECK",0.836649416575815,70
"71","BRVO","BELOW DECK",0.850389415437651,71
"72","BRVO","BELOW DECK",0.863321587637846,72
"73","BRVO","BELOW DECK",0.875468370917663,73
"74","BRVO","BELOW DECK",0.886853476136217,74
"75","BRVO","BELOW DECK",0.897501722985963,75
"76","BRVO","BELOW DECK",0.907438873204401,76
"77","BRVO","BELOW DECK",0.916691462008157,77
"78","BRVO","BELOW DECK",0.925286628480723,78
"79","BRVO","BELOW DECK",0.933251945647263,79
"80","BRVO","BELOW DECK",0.940615250969111,80
"81","BRVO","BELOW DECK",0.947404477986802,81
"82","BRVO","BELOW DECK",0.953647489833798,82
"83","BRVO","BELOW DECK",0.959371915333462,83
"84","BRVO","BELOW DECK",0.964604988379359,84
"85","BRVO","BELOW DECK",0.969373391283679,85
"86","BRVO","BELOW DECK",0.973703102760552,86
"87","BRVO","BELOW DECK",0.977619251190281,87
"88","BRVO","BELOW DECK",0.981145973787238,88
"89","BRVO","BELOW DECK",0.98430628226832,89
"90","BRVO","BELOW DECK",0.987121935590691,90
"91","BRVO","BELOW DECK",0.989613320297,91
"92","BRVO","BELOW DECK",0.991799338973664,92
"93","BRVO","BELOW DECK",0.993697307293069,93
"94","BRVO","BELOW DECK",0.995322860074024,94
"95","BRVO","BELOW DECK",0.996689866756461,95
"96","BRVO","BELOW DECK",0.997810356646492,96
"97","BRVO","BELOW DECK",0.998694454246588,97
"98","BRVO","BELOW DECK",0.9993503249431,98
"99","BRVO","BELOW DECK",0.9997841312796,99
"100","BRVO","BELOW DECK",1,100
"101","BRVO","BLOOD SWEAT HEELS",-1,1
"102","BRVO","BLOOD SWEAT HEELS",-0.998278552586286,2
"103","BRVO","BLOOD SWEAT HEELS",-0.994839530694425,3
"104","BRVO","BLOOD SWEAT HEELS",-0.989690667793353,4
"105","BRVO","BLOOD SWEAT HEELS",-0.982843533127072,5
"106","BRVO","BLOOD SWEAT HEELS",-0.974313494692284,6
"107","BRVO","BLOOD SWEAT HEELS",-0.964119670089519,7
"108","BRVO","BLOOD SWEAT HEELS",-0.952284865430409,8
"109","BRVO","BLOOD SWEAT HEELS",-0.938835502528022,9
"110","BRVO","BLOOD SWEAT HEELS",-0.923801534640636,10
"111","BRVO","BLOOD SWEAT HEELS",-0.907216351081731,11
"112","BRVO","BLOOD SWEAT HEELS",-0.889116671050119,12
"113","BRVO","BLOOD SWEAT HEELS",-0.869542427073961,13
"114","BRVO","BLOOD SWEAT HEELS",-0.848536638500682,14
"115","BRVO","BLOOD SWEAT HEELS",-0.826145275501364,15
"116","BRVO","BLOOD SWEAT HEELS",-0.802417114093022,16
"117","BRVO","BLOOD SWEAT HEELS",-0.777403582714922,17
"118","BRVO","BLOOD SWEAT HEELS",-0.751158600925901,18
"119","BRVO","BLOOD SWEAT HEELS",-0.723738410818149,19
"120","BRVO","BLOOD SWEAT HEELS",-0.695201401769159,20
"121","BRVO","BLOOD SWEAT HEELS",-0.665607929177365,21
"122","BRVO","BLOOD SWEAT HEELS",-0.635020127848317,22
"123","BRVO","BLOOD SWEAT HEELS",-0.603501720716957,23
"124","BRVO","BLOOD SWEAT HEELS",-0.57111782360766,24
"125","BRVO","BLOOD SWEAT HEELS",-0.537934746747046,25
"126","BRVO","BLOOD SWEAT HEELS",-0.504019793755186,26
"127","BRVO","BLOOD SWEAT HEELS",-0.469441058848583,27
"128","BRVO","BLOOD SWEAT HEELS",-0.434267222993298,28
"129","BRVO","BLOOD SWEAT HEELS",-0.398567349748661,29
"130","BRVO","BLOOD SWEAT HEELS",-0.362410681541266,30
"131","BRVO","BLOOD SWEAT HEELS",-0.325866437105326,31
"132","BRVO","BLOOD SWEAT HEELS",-0.289003610819025,32
"133","BRVO","BLOOD SWEAT HEELS",-0.251890774657223,33
"134","BRVO","BLOOD SWEAT HEELS",-0.214595883468858,34
"135","BRVO","BLOOD SWEAT HEELS",-0.177186084272629,35
"136","BRVO","BLOOD SWEAT HEELS",-0.139727530247088,36
"137","BRVO","BLOOD SWEAT HEELS",-0.102285200071324,37
"138","BRVO","BLOOD SWEAT HEELS",-0.0649227232498302,38
"139","BRVO","BLOOD SWEAT HEELS",-0.0277022120302229,39
"140","BRVO","BLOOD SWEAT HEELS",0.00931589950476486,40
"141","BRVO","BLOOD SWEAT HEELS",0.0460730086191266,41
"142","BRVO","BLOOD SWEAT HEELS",0.0825124888589128,42
"143","BRVO","BLOOD SWEAT HEELS",0.118579826254272,43
"144","BRVO","BLOOD SWEAT HEELS",0.154222746336802,44
"145","BRVO","BLOOD SWEAT HEELS",0.1893913315579,45
"146","BRVO","BLOOD SWEAT HEELS",0.224038128732445,46
"147","BRVO","BLOOD SWEAT HEELS",0.258118246172142,47
"148","BRVO","BLOOD SWEAT HEELS",0.291589440214173,48
"149","BRVO","BLOOD SWEAT HEELS",0.324412190893094,49
"150","BRVO","BLOOD SWEAT HEELS",0.356549766547198,50
"151","BRVO","BLOOD SWEAT HEELS",0.387968277194528,51
"152","BRVO","BLOOD SWEAT HEELS",0.418636716558277,52
"153","BRVO","BLOOD SWEAT HEELS",0.448526992666243,53
"154","BRVO","BLOOD SWEAT HEELS",0.477613946994129,54
"155","BRVO","BLOOD SWEAT HEELS",0.505875362167675,55
"156","BRVO","BLOOD SWEAT HEELS",0.533291958283594,56
"157","BRVO","BLOOD SWEAT HEELS",0.559847377954007,57
"158","BRVO","BLOOD SWEAT HEELS",0.585528160223238,58
"159","BRVO","BLOOD SWEAT HEELS",0.610323703549367,59
"160","BRVO","BLOOD SWEAT HEELS",0.63422621808559,60
"161","BRVO","BLOOD SWEAT HEELS",0.657230667538091,61
"162","BRVO","BLOOD SWEAT HEELS",0.679334700917616,62
"163","BRVO","BLOOD SWEAT HEELS",0.700538574541043,63
"164","BRVO","BLOOD SWEAT HEELS",0.720845064676925,64
"165","BRVO","BLOOD SWEAT HEELS",0.740259371264953,65
"166","BRVO","BLOOD SWEAT HEELS",0.758789013173517,66
"167","BRVO","BLOOD SWEAT HEELS",0.776443715491856,67
"168","BRVO","BLOOD SWEAT HEELS",0.793235289383548,68
"169","BRVO","BLOOD SWEAT HEELS",0.809177505056191,69
"170","BRVO","BLOOD SWEAT HEELS",0.82428595842798,70
"171","BRVO","BLOOD SWEAT HEELS",0.838577932095321,71
"172","BRVO","BLOOD SWEAT HEELS",0.852072251226659,72
"173","BRVO","BLOOD SWEAT HEELS",0.864789135026142,73
"174","BRVO","BLOOD SWEAT HEELS",0.876750044426585,74
"175","BRVO","BLOOD SWEAT HEELS",0.8879775266844,75
"176","BRVO","BLOOD SWEAT HEELS",0.898495057559558,76
"177","BRVO","BLOOD SWEAT HEELS",0.908326881771383,77
"178","BRVO","BLOOD SWEAT HEELS",0.917497852425839,78
"179","BRVO","BLOOD SWEAT HEELS",0.926033270112044,79
"180","BRVO","BLOOD SWEAT HEELS",0.933958722365035,80
"181","BRVO","BLOOD SWEAT HEELS",0.94129992418823,81
"182","BRVO","BLOOD SWEAT HEELS",0.948082560322709,82
"183","BRVO","BLOOD SWEAT HEELS",0.954332129941301,83
"184","BRVO","BLOOD SWEAT HEELS",0.96007379443365,84
"185","BRVO","BLOOD SWEAT HEELS",0.965332228933859,85
"186","BRVO","BLOOD SWEAT HEELS",0.970131478225225,86
"187","BRVO","BLOOD SWEAT HEELS",0.974494817636807,87
"188","BRVO","BLOOD SWEAT HEELS",0.978444619524474,88
"189","BRVO","BLOOD SWEAT HEELS",0.982002225904451,89
"190","BRVO","BLOOD SWEAT HEELS",0.985187827780601,90
"191","BRVO","BLOOD SWEAT HEELS",0.988020351677646,91
"192","BRVO","BLOOD SWEAT HEELS",0.990517353861468,92
"193","BRVO","BLOOD SWEAT HEELS",0.992694922694625,93
"194","BRVO","BLOOD SWEAT HEELS",0.994567589540436,94
"195","BRVO","BLOOD SWEAT HEELS",0.996148248592515,95
"196","BRVO","BLOOD SWEAT HEELS",0.997448085968679,96
"197","BRVO","BLOOD SWEAT HEELS",0.998476518368807,97
"198","BRVO","BLOOD SWEAT HEELS",0.999241141555735,98
"199","BRVO","BLOOD SWEAT HEELS",0.99974768887664,99
"200","BRVO","BLOOD SWEAT HEELS",1,100
"201","BRVO","FASHION QUEENS",-1,1
"202","BRVO","FASHION QUEENS",-0.998339898343896,2
"203","BRVO","FASHION QUEENS",-0.995023325863577,3
"204","BRVO","FASHION QUEENS",-0.990057532776092,4
"205","BRVO","FASHION QUEENS",-0.983453365832528,5
"206","BRVO","FASHION QUEENS",-0.975225234146982,6
"207","BRVO","FASHION QUEENS",-0.965391063831978,7
"208","BRVO","FASHION QUEENS",-0.953972241607982,8
"209","BRVO","FASHION QUEENS",-0.940993547595435,9
"210","BRVO","FASHION QUEENS",-0.926483077537535,10
"211","BRVO","FASHION QUEENS",-0.910472154740994,11
"212","BRVO","FASHION QUEENS",-0.892995232059746,12
"213","BRVO","FASHION QUEENS",-0.874089784283206,13
"214","BRVO","FASHION QUEENS",-0.853796191325739,14
"215","BRVO","FASHION QUEENS",-0.832157612647705,15
"216","BRVO","FASHION QUEENS",-0.809219853370316,16
"217","BRVO","FASHION QUEENS",-0.785031222576727,17
"218","BRVO","FASHION QUEENS",-0.75964238432003,18
"219","BRVO","FASHION QUEENS",-0.733106201885028,19
"220","BRVO","FASHION QUEENS",-0.705477575874794,20
"221","BRVO","FASHION QUEENS",-0.67681327671491,21
"222","BRVO","FASHION QUEENS",-0.647171772187887,22
"223","BRVO","FASHION QUEENS",-0.616613050627512,23
"224","BRVO","FASHION QUEENS",-0.58519844041765,24
"225","BRVO","FASHION QUEENS",-0.552990426452356,25
"226","BRVO","FASHION QUEENS",-0.520052464223914,26
"227","BRVO","FASHION QUEENS",-0.48644879221263,27
"228","BRVO","FASHION QUEENS",-0.452244243256779,28
"229","BRVO","FASHION QUEENS",-0.417504055583128,29
"230","BRVO","FASHION QUEENS",-0.382293684177758,30
"231","BRVO","FASHION QUEENS",-0.346678613173727,31
"232","BRVO","FASHION QUEENS",-0.310724169926182,32
"233","BRVO","FASHION QUEENS",-0.27449534143713,33
"234","BRVO","FASHION QUEENS",-0.238056593781091,34
"235","BRVO","FASHION QUEENS",-0.201471695169372,35
"236","BRVO","FASHION QUEENS",-0.164803543274784,36
"237","BRVO","FASHION QUEENS",-0.128113997420304,37
"238","BRVO","FASHION QUEENS",-0.0914637162146226,38
"239","BRVO","FASHION QUEENS",-0.054912001194632,39
"240","BRVO","FASHION QUEENS",-0.0185166470100094,40
"241","BRVO","FASHION QUEENS",0.0176662013419888,41
"242","BRVO","FASHION QUEENS",0.0535821837522887,42
"243","BRVO","FASHION QUEENS",0.0891788522578085,43
"244","BRVO","FASHION QUEENS",0.124405789905224,44
"245","BRVO","FASHION QUEENS",0.159214720838562,45
"246","BRVO","FASHION QUEENS",0.193559611263863,46
"247","BRVO","FASHION QUEENS",0.227396760980844,47
"248","BRVO","FASHION QUEENS",0.260684885209288,48
"249","BRVO","FASHION QUEENS",0.293385186476668,49
"250","BRVO","FASHION QUEENS",0.325461416373161,50
"251","BRVO","FASHION QUEENS",0.356879927020491,51
"252","BRVO","FASHION QUEENS",0.38760971214185,52
"253","BRVO","FASHION QUEENS",0.417622437661358,53
"254","BRVO","FASHION QUEENS",0.446892461802832,54
"255","BRVO","FASHION QUEENS",0.475396844699093,55
"256","BRVO","FASHION QUEENS",0.503115347564256,56
"257","BRVO","FASHION QUEENS",0.530030421522429,57
"258","BRVO","FASHION QUEENS",0.556127186226774,58
"259","BRVO","FASHION QUEENS",0.581393398442743,59
"260","BRVO","FASHION QUEENS",0.605819410808452,60
"261","BRVO","FASHION QUEENS",0.629398121023317,61
"262","BRVO","FASHION QUEENS",0.652124911753207,62
"263","BRVO","FASHION QUEENS",0.673997581576251,63
"264","BRVO","FASHION QUEENS",0.695016267327945,64
"265","BRVO","FASHION QUEENS",0.715183358237257,65
"266","BRVO","FASHION QUEENS",0.734503402276774,66
