"","Network","Show_Name","dct_values","period"
"1","BRVO","BELOW DECK",-1,1
"2","BRVO","BELOW DECK",-0.999848636754918,2
"3","BRVO","BELOW DECK",-0.99954358679541,3
"4","BRVO","BELOW DECK",-0.999080215234971,4
"5","BRVO","BELOW DECK",-0.99845159982388,5
"6","BRVO","BELOW DECK",-0.997648566904308,6
"7","BRVO","BELOW DECK",-0.996659739116151,7
"8","BRVO","BELOW DECK",-0.995471594653975,8
"9","BRVO","BELOW DECK",-0.994068537827049,9
"10","BRVO","BELOW DECK",-0.992432980627004,10
"11","BRVO","BELOW DECK",-0.99054543496149,11
"12","BRVO","BELOW DECK",-0.988384615167262,12
"13","BRVO","BELOW DECK",-0.985927550372902,13
"14","BRVO","BELOW DECK",-0.983149706239695,14
"15","BRVO","BELOW DECK",-0.980025115569577,15
"16","BRVO","BELOW DECK",-0.976526517231329,16
"17","BRVO","BELOW DECK",-0.972625502820788,17
"18","BRVO","BELOW DECK",-0.968292670437711,18
"19","BRVO","BELOW DECK",-0.963497784931293,19
"20","BRVO","BELOW DECK",-0.958209943938282,20
"21","BRVO","BELOW DECK",-0.952397749012331,21
"22","BRVO","BELOW DECK",-0.946029481120675,22
"23","BRVO","BELOW DECK",-0.939073279764631,23
"24","BRVO","BELOW DECK",-0.931497324963783,24
"25","BRVO","BELOW DECK",-0.923270021330131,25
"26","BRVO","BELOW DECK",-0.914360183448026,26
"27","BRVO","BELOW DECK",-0.904737221768385,27
"28","BRVO","BELOW DECK",-0.894371328221548,28
"29","BRVO","BELOW DECK",-0.883233660752227,29
"30","BRVO","BELOW DECK",-0.871296525982224,30
"31","BRVO","BELOW DECK",-0.858533559212128,31
"32","BRVO","BELOW DECK",-0.844919900981806,32
"33","BRVO","BELOW DECK",-0.830432369421337,33
"34","BRVO","BELOW DECK",-0.815049627638918,34
"35","BRVO","BELOW DECK",-0.798752345410247,35
"36","BRVO","BELOW DECK",-0.781523354454799,36
"37","BRVO","BELOW DECK",-0.763347796608236,37
"38","BRVO","BELOW DECK",-0.744213264226814,38
"39","BRVO","BELOW DECK",-0.724109932189004,39
"40","BRVO","BELOW DECK",-0.703030680891402,40
"41","BRVO","BELOW DECK",-0.68097120967043,41
"42","BRVO","BELOW DECK",-0.657930140117984,42
"43","BRVO","BELOW DECK",-0.633909108798086,43
"44","BRVO","BELOW DECK",-0.608912848912491,44
"45","BRVO","BELOW DECK",-0.582949260506,45
"46","BRVO","BELOW DECK",-0.556029468846672,46
"47","BRVO","BELOW DECK",-0.528167870662164,47
"48","BRVO","BELOW DECK",-0.499382167960766,48
"49","BRVO","BELOW DECK",-0.469693389214199,49
"50","BRVO","BELOW DECK",-0.439125897728727,50
"51","BRVO","BELOW DECK",-0.407707387081397,51
"52","BRVO","BELOW DECK",-0.375468863549015,52
"53","BRVO","BELOW DECK",-0.342444615508696,53
"54","BRVO","BELOW DECK",-0.308672169840177,54
"55","BRVO","BELOW DECK",-0.274192235411442,55
"56","BRVO","BELOW DECK",-0.239048633780307,56
"57","BRVO","BELOW DECK",-0.203288217295286,57
"58","BRVO","BELOW DECK",-0.166960774829121,58
"59","BRVO","BELOW DECK",-0.130118925427531,59
"60","BRVO","BELOW DECK",-0.0928180002039667,60
"61","BRVO","BELOW DECK",-0.0551159128580749,61
"62","BRVO","BELOW DECK",-0.0170730192411647,62
"63","BRVO","BELOW DECK",0.0212480335640588,63
"64","BRVO","BELOW DECK",0.0597824681400136,64
"65","BRVO","BELOW DECK",0.0984635470572415,65
"66","BRVO","BELOW DECK",0.1372227520359,66
"67","BRVO","BELOW DECK",0.175989971321797,67
"68","BRVO","BELOW DECK",0.214693694619433,68
"69","BRVO","BELOW DECK",0.25326121489341,69
"70","BRVO","BELOW DECK",0.291618836321178,70
"71","BRVO","BELOW DECK",0.329692087654362,71
"72","BRVO","BELOW DECK",0.367405940223093,72
"73","BRVO","BELOW DECK",0.404685029797891,73
"74","BRVO","BELOW DECK",0.441453881506784,74
"75","BRVO","BELOW DECK",0.47763713699156,75
"76","BRVO","BELOW DECK",0.513159782976473,76
"77","BRVO","BELOW DECK",0.54794738041526,77
"78","BRVO","BELOW DECK",0.581926293378165,78
"79","BRVO","BELOW DECK",0.615023916839686,79
"80","BRVO","BELOW DECK",0.647168902530069,80
"81","BRVO","BELOW DECK",0.678291382019108,81
"82","BRVO","BELOW DECK",0.708323186209566,82
"83","BRVO","BELOW DECK",0.737198060429492,83
"84","BRVO","BELOW DECK",0.764851874327785,84
"85","BRVO","BELOW DECK",0.791222825795553,85
"86","BRVO","BELOW DECK",0.816251638157012,86
"87","BRVO","BELOW DECK",0.839881749897794,87
"88","BRVO","BELOW DECK",0.862059496225534,88
"89","BRVO","BELOW DECK",0.882734281787308,89
"90","BRVO","BELOW DECK",0.901858743900843,90
"91","BRVO","BELOW DECK",0.919388905691278,91
"92","BRVO","BELOW DECK",0.935284318562441,92
"93","BRVO","BELOW DECK",0.949508193471059,93
"94","BRVO","BELOW DECK",0.962027520513805,94
"95","BRVO","BELOW DECK",0.972813176380491,95
"96","BRVO","BELOW DECK",0.981840019271871,96
"97","BRVO","BELOW DECK",0.989086970927189,97
"98","BRVO","BELOW DECK",0.99453708545475,98
"99","BRVO","BELOW DECK",0.998177604708008,99
"100","BRVO","BELOW DECK",1,100
"101","BRVO","BLOOD SWEAT HEELS",0.740515348802696,1
"102","BRVO","BLOOD SWEAT HEELS",0.736957651084682,2
"103","BRVO","BLOOD SWEAT HEELS",0.729856675211583,3
"104","BRVO","BLOOD SWEAT HEELS",0.719241203027855,4
"105","BRVO","BLOOD SWEAT HEELS",0.705154264323083,5
"106","BRVO","BLOOD SWEAT HEELS",0.687652965892591,6
"107","BRVO","BLOOD SWEAT HEELS",0.666808264670767,7
"108","BRVO","BLOOD SWEAT HEELS",0.642704685833914,8
"109","BRVO","BLOOD SWEAT HEELS",0.615439986986998,9
"110","BRVO","BLOOD SWEAT HEELS",0.585124769761775,10
"111","BRVO","BLOOD SWEAT HEELS",0.551882040361735,11
"112","BRVO","BLOOD SWEAT HEELS",0.515846720791075,12
"113","BRVO","BLOOD SWEAT HEELS",0.47716511269997,13
"114","BRVO","BLOOD SWEAT HEELS",0.435994315965714,14
"115","BRVO","BLOOD SWEAT HEELS",0.392501604308306,15
"116","BRVO","BLOOD SWEAT HEELS",0.346863760408967,16
"117","BRVO","BLOOD SWEAT HEELS",0.299266373160243,17
"118","BRVO","BLOOD SWEAT HEELS",0.249903099826128,18
"119","BRVO","BLOOD SWEAT HEELS",0.19897489602945,19
"120","BRVO","BLOOD SWEAT HEELS",0.146689216611086,20
"121","BRVO","BLOOD SWEAT HEELS",0.0932591905208049,21
"122","BRVO","BLOOD SWEAT HEELS",0.0389027730023941,22
"123","BRVO","BLOOD SWEAT HEELS",-0.0161581215744135,23
"124","BRVO","BLOOD SWEAT HEELS",-0.0716985028059758,24
"125","BRVO","BLOOD SWEAT HEELS",-0.127491199778383,25
"126","BRVO","BLOOD SWEAT HEELS",-0.183307765480992,26
"127","BRVO","BLOOD SWEAT HEELS",-0.238919386532773,27
"128","BRVO","BLOOD SWEAT HEELS",-0.294097794623153,28
"129","BRVO","BLOOD SWEAT HEELS",-0.348616176062012,29
"130","BRVO","BLOOD SWEAT HEELS",-0.402250075840677,30
"131","BRVO","BLOOD SWEAT HEELS",-0.454778292627193,31
"132","BRVO","BLOOD SWEAT HEELS",-0.505983761154679,32
"133","BRVO","BLOOD SWEAT HEELS",-0.555654418511099,33
"134","BRVO","BLOOD SWEAT HEELS",-0.60358405090209,34
"135","BRVO","BLOOD SWEAT HEELS",-0.649573117535346,35
"136","BRVO","BLOOD SWEAT HEELS",-0.693429548365147,36
"137","BRVO","BLOOD SWEAT HEELS",-0.734969512538574,37
"138","BRVO","BLOOD SWEAT HEELS",-0.774018154500414,38
"139","BRVO","BLOOD SWEAT HEELS",-0.810410294841218,39
"140","BRVO","BLOOD SWEAT HEELS",-0.843991093111952,40
"141","BRVO","BLOOD SWEAT HEELS",-0.874616669978625,41
"142","BRVO","BLOOD SWEAT HEELS",-0.902154686250615,42
"143","BRVO","BLOOD SWEAT HEELS",-0.926484876486483,43
"144","BRVO","BLOOD SWEAT HEELS",-0.94749953506018,44
"145","BRVO","BLOOD SWEAT HEELS",-0.965103952758112,45
"146","BRVO","BLOOD SWEAT HEELS",-0.979216802172609,46
"147","BRVO","BLOOD SWEAT HEELS",-0.98977047035937,47
"148","BRVO","BLOOD SWEAT HEELS",-0.996711337434495,48
"149","BRVO","BLOOD SWEAT HEELS",-1,49
"150","BRVO","BLOOD SWEAT HEELS",-0.9996114385044,50
"151","BRVO","BLOOD SWEAT HEELS",-0.99553512786617,51
"152","BRVO","BLOOD SWEAT HEELS",-0.987775090911769,52
"153","BRVO","BLOOD SWEAT HEELS",-0.976349894405603,53
"154","BRVO","BLOOD SWEAT HEELS",-0.96129258767582,54
"155","BRVO","BLOOD SWEAT HEELS",-0.942650584066432,55
"156","BRVO","BLOOD SWEAT HEELS",-0.920485485671887,56
"157","BRVO","BLOOD SWEAT HEELS",-0.894872852034068,57
"158","BRVO","BLOOD SWEAT HEELS",-0.865901913702933,58
"159","BRVO","BLOOD SWEAT HEELS",-0.833675231779626,59
"160","BRVO","BLOOD SWEAT HEELS",-0.798308304774135,60
"161","BRVO","BLOOD SWEAT HEELS",-0.759929124317597,61
"162","BRVO","BLOOD SWEAT HEELS",-0.718677681471274,62
"163","BRVO","BLOOD SWEAT HEELS",-0.674705425569264,63
"164","BRVO","BLOOD SWEAT HEELS",-0.628174677719502,64
"165","BRVO","BLOOD SWEAT HEELS",-0.579258001266623,65
"166","BRVO","BLOOD SWEAT HEELS",-0.528137531690257,66
"167","BRVO","BLOOD SWEAT HEELS",-0.475004268572571,67
"168","BRVO","BLOOD SWEAT HEELS",-0.420057332418684,68
"169","BRVO","BLOOD SWEAT HEELS",-0.363503189252506,69
"170","BRVO","BLOOD SWEAT HEELS",-0.305554846037841,70
"171","BRVO","BLOOD SWEAT HEELS",-0.246431020089965,71
"172","BRVO","BLOOD SWEAT HEELS",-0.186355285745704,72
"173","BRVO","BLOOD SWEAT HEELS",-0.125555201649996,73
"174","BRVO","BLOOD SWEAT HEELS",-0.0642614220936375,74
"175","BRVO","BLOOD SWEAT HEELS",-0.00270679590006884,75
"176","BRVO","BLOOD SWEAT HEELS",0.0588745435915721,76
"177","BRVO","BLOOD SWEAT HEELS",0.120248093864514,77
"178","BRVO","BLOOD SWEAT HEELS",0.181179900279689,78
"179","BRVO","BLOOD SWEAT HEELS",0.241437471237449,79
"180","BRVO","BLOOD SWEAT HEELS",0.300790687841964,80
"181","BRVO","BLOOD SWEAT HEELS",0.359012704486075,81
"182","BRVO","BLOOD SWEAT HEELS",0.415880836809862,82
"183","BRVO","BLOOD SWEAT HEELS",0.471177433535783,83
"184","BRVO","BLOOD SWEAT HEELS",0.524690728746545,84
"185","BRVO","BLOOD SWEAT HEELS",0.576215671248764,85
"186","BRVO","BLOOD SWEAT HEELS",0.625554727755592,86
"187","BRVO","BLOOD SWEAT HEELS",0.672518656724489,87
"188","BRVO","BLOOD SWEAT HEELS",0.716927249801836,88
"189","BRVO","BLOOD SWEAT HEELS",0.758610037953545,89
"190","BRVO","BLOOD SWEAT HEELS",0.797406959499941,90
"191","BRVO","BLOOD SWEAT HEELS",0.833168987423111,91
"192","BRVO","BLOOD SWEAT HEELS",0.865758713475372,92
"193","BRVO","BLOOD SWEAT HEELS",0.895050886787629,93
"194","BRVO","BLOOD SWEAT HEELS",0.920932904855608,94
"195","BRVO","BLOOD SWEAT HEELS",0.943305254969535,95
"196","BRVO","BLOOD SWEAT HEELS",0.962081904348085,96
"197","BRVO","BLOOD SWEAT HEELS",0.977190637439462,97
"198","BRVO","BLOOD SWEAT HEELS",0.988573339060642,98
"199","BRVO","BLOOD SWEAT HEELS",0.996186222259215,99
"200","BRVO","BLOOD SWEAT HEELS",1,100
"201","BRVO","FASHION QUEENS",1,1
"202","BRVO","FASHION QUEENS",0.998656929775461,2
"203","BRVO","FASHION QUEENS",0.99597316898005,3
"204","BRVO","FASHION QUEENS",0.9919534704122,4
"205","BRVO","FASHION QUEENS",0.986604947020157,5
"206","BRVO","FASHION QUEENS",0.979937052466571,6
"207","BRVO","FASHION QUEENS",0.971961555320809,7
"208","BRVO","FASHION QUEENS",0.962692506969486,8
"209","BRVO","FASHION QUEENS",0.952146203357705,9
"210","BRVO","FASHION QUEENS",0.940341140695008,10
"211","BRVO","FASHION QUEENS",0.927297965281098,11
"212","BRVO","FASHION QUEENS",0.913039417626827,12
"213","BRVO","FASHION QUEENS",0.897590271065712,13
"214","BRVO","FASHION QUEENS",0.880977265070257,14
"215","BRVO","FASHION QUEENS",0.863229033505582,15
"216","BRVO","FASHION QUEENS",0.844376028070172,16
"217","BRVO","FASHION QUEENS",0.824450437189916,17
"218","BRVO","FASHION QUEENS",0.803486100646965,18
"219","BRVO","FASHION QUEENS",0.781518420239221,19
"220","BRVO","FASHION QUEENS",0.758584266779404,20
"221","BRVO","FASHION QUEENS",0.734721883754641,21
"222","BRVO","FASHION QUEENS",0.709970787978244,22
"223","BRVO","FASHION QUEENS",0.684371667574878,23
"224","BRVO","FASHION QUEENS",0.657966277648466,24
"225","BRVO","FASHION QUEENS",0.6307973339891,25
"226","BRVO","FASHION QUEENS",0.602908405180698,26
"227","BRVO","FASHION QUEENS",0.574343803475341,27
"228","BRVO","FASHION QUEENS",0.545148474802942,28
"229","BRVO","FASHION QUEENS",0.515367888286299,29
"230","BRVO","FASHION QUEENS",0.485047925631555,30
"231","BRVO","FASHION QUEENS",0.454234770762646,31
"232","BRVO","FASHION QUEENS",0.422974800065519,32
"233","BRVO","FASHION QUEENS",0.391314473603724,33
"234","BRVO","FASHION QUEENS",0.35930022766143,34
"235","BRVO","FASHION QUEENS",0.326978368963045,35
"236","BRVO","FASHION QUEENS",0.294394970910436,36
"237","BRVO","FASHION QUEENS",0.261595772169315,37
"238","BRVO","FASHION QUEENS",0.228626077925644,38
"239","BRVO","FASHION QUEENS",0.19553066412108,39
"240","BRVO","FASHION QUEENS",0.162353684963434,40
"241","BRVO","FASHION QUEENS",0.129138583994067,41
"242","BRVO","FASHION QUEENS",0.0959280089789694,42
"243","BRVO","FASHION QUEENS",0.0627637308742166,43
"244","BRVO","FASHION QUEENS",0.0296865670994741,44
"245","BRVO","FASHION QUEENS",-0.00326369066462173,45
"246","BRVO","FASHION QUEENS",-0.0360483439579632,46
"247","BRVO","FASHION QUEENS",-0.0686298501234235,47
"248","BRVO","FASHION QUEENS",-0.100971879832233,48
"249","BRVO","FASHION QUEENS",-0.133039369414704,49
"250","BRVO","FASHION QUEENS",-0.164798567879632,50
"251","BRVO","FASHION QUEENS",-0.196217078526962,51
"252","BRVO","FASHION QUEENS",-0.227263895079887,52
