"","Network","Show_Name","dct_values","period"
"1","BRVO","BELOW DECK",-1,1
"2","BRVO","BELOW DECK",-0.996537226691269,2
"3","BRVO","BELOW DECK",-0.989624090891019,3
"4","BRVO","BELOW DECK",-0.979285366492561,4
"5","BRVO","BELOW DECK",-0.965558095170246,5
"6","BRVO","BELOW DECK",-0.948491443904072,6
"7","BRVO","BELOW DECK",-0.92814651588268,7
"8","BRVO","BELOW DECK",-0.904596115526063,8
"9","BRVO","BELOW DECK",-0.877924468549204,9
"10","BRVO","BELOW DECK",-0.848226898164308,10
"11","BRVO","BELOW DECK",-0.815609458690766,11
"12","BRVO","BELOW DECK",-0.780188528009425,12
"13","BRVO","BELOW DECK",-0.742090360458442,13
"14","BRVO","BELOW DECK",-0.701450601923406,14
"15","BRVO","BELOW DECK",-0.658413769022158,15
"16","BRVO","BELOW DECK",-0.613132694425456,16
"17","BRVO","BELOW DECK",-0.565767940487044,17
"18","BRVO","BELOW DECK",-0.516487183480718,18
"19","BRVO","BELOW DECK",-0.465464570856896,19
"20","BRVO","BELOW DECK",-0.412880054036439,20
"21","BRVO","BELOW DECK",-0.358918699355248,21
"22","BRVO","BELOW DECK",-0.303769979857959,22
"23","BRVO","BELOW DECK",-0.247627050714015,23
"24","BRVO","BELOW DECK",-0.190686011092742,24
"25","BRVO","BELOW DECK",-0.133145155386635,25
"26","BRVO","BELOW DECK",-0.0752042167131169,26
"27","BRVO","BELOW DECK",-0.0170636056546487,27
"28","BRVO","BELOW DECK",0.0410763527852174,28
"29","BRVO","BELOW DECK",0.099016181025863,29
"30","BRVO","BELOW DECK",0.156558006575495,30
"31","BRVO","BELOW DECK",0.213506312557922,31
"32","BRVO","BELOW DECK",0.269668678168187,32
"33","BRVO","BELOW DECK",0.3248565061656,33
"34","BRVO","BELOW DECK",0.378885734564593,34
"35","BRVO","BELOW DECK",0.431577529746778,35
"36","BRVO","BELOW DECK",0.482758958291788,36
"37","BRVO","BELOW DECK",0.532263634908894,37
"38","BRVO","BELOW DECK",0.579932343946463,38
"39","BRVO","BELOW DECK",0.625613632061126,39
"40","BRVO","BELOW DECK",0.669164369742809,40
"41","BRVO","BELOW DECK",0.710450279515371,41
"42","BRVO","BELOW DECK",0.749346428764352,42
"43","BRVO","BELOW DECK",0.78573768528356,43
"44","BRVO","BELOW DECK",0.819519133779649,44
"45","BRVO","BELOW DECK",0.850596451728321,45
"46","BRVO","BELOW DECK",0.878886243136473,46
"47","BRVO","BELOW DECK",0.904316328931124,47
"48","BRVO","BELOW DECK",0.926825992867284,48
"49","BRVO","BELOW DECK",0.946366182022703,49
"50","BRVO","BELOW DECK",0.96289966112689,50
"51","BRVO","BELOW DECK",0.976401120154052,51
"52","BRVO","BELOW DECK",0.986857234794182,52
"53","BRVO","BELOW DECK",0.994266679602542,53
"54","BRVO","BELOW DECK",0.998640093814561,54
"55","BRVO","BELOW DECK",1,55
"56","BRVO","BELOW DECK",0.998380675916154,56
"57","BRVO","BELOW DECK",0.993827980104721,57
"58","BRVO","BELOW DECK",0.986399131959108,58
"59","BRVO","BELOW DECK",0.976162447168655,59
"60","BRVO","BELOW DECK",0.963197029622098,60
"61","BRVO","BELOW DECK",0.947592421024085,61
"62","BRVO","BELOW DECK",0.929448209645366,62
"63","BRVO","BELOW DECK",0.908873599787986,63
"64","BRVO","BELOW DECK",0.88598694370174,64
"65","BRVO","BELOW DECK",0.860915237835716,65
"66","BRVO","BELOW DECK",0.833793585449233,66
"67","BRVO","BELOW DECK",0.80476462773873,67
"68","BRVO","BELOW DECK",0.773977945760839,68
"69","BRVO","BELOW DECK",0.741589435546735,69
"70","BRVO","BELOW DECK",0.707760658907935,70
"71","BRVO","BELOW DECK",0.672658172529172,71
"72","BRVO","BELOW DECK",0.636452838028936,72
"73","BRVO","BELOW DECK",0.599319115742738,73
"74","BRVO","BELOW DECK",0.561434345047746,74
"75","BRVO","BELOW DECK",0.522978014099715,75
"76","BRVO","BELOW DECK",0.484131021894238,76
"77","BRVO","BELOW DECK",0.445074935593849,77
"78","BRVO","BELOW DECK",0.405991246080264,78
"79","BRVO","BELOW DECK",0.367060624697368,79
"80","BRVO","BELOW DECK",0.328462184144788,80
"81","BRVO","BELOW DECK",0.290372746464787,81
"82","BRVO","BELOW DECK",0.252966121036178,82
"83","BRVO","BELOW DECK",0.216412395448483,83
"84","BRVO","BELOW DECK",0.180877242077921,84
"85","BRVO","BELOW DECK",0.14652124312365,85
"86","BRVO","BELOW DECK",0.113499236788858,86
"87","BRVO","BELOW DECK",0.0819596872069728,87
"88","BRVO","BELOW DECK",0.0520440806181968,88
"89","BRVO","BELOW DECK",0.0238863501971411,89
"90","BRVO","BELOW DECK",-0.00238766818192415,90
"91","BRVO","BELOW DECK",-0.0266607470789609,91
"92","BRVO","BELOW DECK",-0.0488247434895991,92
"93","BRVO","BELOW DECK",-0.068781037822401,93
"94","BRVO","BELOW DECK",-0.0864409341074853,94
"95","BRVO","BELOW DECK",-0.101726019846199,95
"96","BRVO","BELOW DECK",-0.11456848407202,96
"97","BRVO","BELOW DECK",-0.124911392358919,97
"98","BRVO","BELOW DECK",-0.132708917684603,98
"99","BRVO","BELOW DECK",-0.137926526231415,99
"100","BRVO","BELOW DECK",-0.140541117386741,100
"101","BRVO","BLOOD SWEAT HEELS",1,1
"102","BRVO","BLOOD SWEAT HEELS",0.996324151459757,2
"103","BRVO","BLOOD SWEAT HEELS",0.988986216655142,3
"104","BRVO","BLOOD SWEAT HEELS",0.978013666559335,4
"105","BRVO","BLOOD SWEAT HEELS",0.963447573896404,5
"106","BRVO","BLOOD SWEAT HEELS",0.94534245324769,6
"107","BRVO","BLOOD SWEAT HEELS",0.923766048839803,7
"108","BRVO","BLOOD SWEAT HEELS",0.898799070848857,8
"109","BRVO","BLOOD SWEAT HEELS",0.870534881258041,9
"110","BRVO","BLOOD SWEAT HEELS",0.839079130503943,10
"111","BRVO","BLOOD SWEAT HEELS",0.80454934634059,11
"112","BRVO","BLOOD SWEAT HEELS",0.767074476538058,12
"113","BRVO","BLOOD SWEAT HEELS",0.726794387213919,13
"114","BRVO","BLOOD SWEAT HEELS",0.683859318770294,14
"115","BRVO","BLOOD SWEAT HEELS",0.638429301575821,15
"116","BRVO","BLOOD SWEAT HEELS",0.590673533690116,16
"117","BRVO","BLOOD SWEAT HEELS",0.540769723077355,17
"118","BRVO","BLOOD SWEAT HEELS",0.488903396895151,18
"119","BRVO","BLOOD SWEAT HEELS",0.435267180574165,19
"120","BRVO","BLOOD SWEAT HEELS",0.380060049522467,20
"121","BRVO","BLOOD SWEAT HEELS",0.323486556396064,21
"122","BRVO","BLOOD SWEAT HEELS",0.265756036972872,22
"123","BRVO","BLOOD SWEAT HEELS",0.207081797751161,23
"124","BRVO","BLOOD SWEAT HEELS",0.1476802884651,24
"125","BRVO","BLOOD SWEAT HEELS",0.0877702627689709,25
"126","BRVO","BLOOD SWEAT HEELS",0.0275719303877009,26
"127","BRVO","BLOOD SWEAT HEELS",-0.0326938959354605,27
"128","BRVO","BLOOD SWEAT HEELS",-0.0928066553433217,28
"129","BRVO","BLOOD SWEAT HEELS",-0.152546892263601,29
"130","BRVO","BLOOD SWEAT HEELS",-0.211697104951101,30
"131","BRVO","BLOOD SWEAT HEELS",-0.270042585841701,31
"132","BRVO","BLOOD SWEAT HEELS",-0.327372250419499,32
"133","BRVO","BLOOD SWEAT HEELS",-0.383479451344149,33
"134","BRVO","BLOOD SWEAT HEELS",-0.438162774644108,34
"135","BRVO","BLOOD SWEAT HEELS",-0.491226814852656,35
"136","BRVO","BLOOD SWEAT HEELS",-0.542482926047111,36
"137","BRVO","BLOOD SWEAT HEELS",-0.591749945847053,37
"138","BRVO","BLOOD SWEAT HEELS",-0.63885488953454,38
"139","BRVO","BLOOD SWEAT HEELS",-0.683633611577502,39
"140","BRVO","BLOOD SWEAT HEELS",-0.725931431966452,40
"141","BRVO","BLOOD SWEAT HEELS",-0.765603724913873,41
"142","BRVO","BLOOD SWEAT HEELS",-0.802516467614383,42
"143","BRVO","BLOOD SWEAT HEELS",-0.836546746921728,43
"144","BRVO","BLOOD SWEAT HEELS",-0.867583221964923,44
"145","BRVO","BLOOD SWEAT HEELS",-0.895526540899968,45
"146","BRVO","BLOOD SWEAT HEELS",-0.920289710174795,46
"147","BRVO","BLOOD SWEAT HEELS",-0.941798414872637,47
"148","BRVO","BLOOD SWEAT HEELS",-0.95999128889227,48
"149","BRVO","BLOOD SWEAT HEELS",-0.974820133921627,49
"150","BRVO","BLOOD SWEAT HEELS",-0.986250086363528,50
"151","BRVO","BLOOD SWEAT HEELS",-0.994259731577717,51
"152","BRVO","BLOOD SWEAT HEELS",-0.998841165011383,52
"153","BRVO","BLOOD SWEAT HEELS",-1,53
"154","BRVO","BLOOD SWEAT HEELS",-0.99775532223079,54
"155","BRVO","BLOOD SWEAT HEELS",-0.992139591071564,55
"156","BRVO","BLOOD SWEAT HEELS",-0.983198488177454,56
"157","BRVO","BLOOD SWEAT HEELS",-0.970990713995923,57
"158","BRVO","BLOOD SWEAT HEELS",-0.955587732996144,58
"159","BRVO","BLOOD SWEAT HEELS",-0.937073468650954,59
"160","BRVO","BLOOD SWEAT HEELS",-0.91554394939784,60
"161","BRVO","BLOOD SWEAT HEELS",-0.891106906998752,61
"162","BRVO","BLOOD SWEAT HEELS",-0.863881328906154,62
"163","BRVO","BLOOD SWEAT HEELS",-0.833996966424111,63
"164","BRVO","BLOOD SWEAT HEELS",-0.80159380062744,64
"165","BRVO","BLOOD SWEAT HEELS",-0.766821468168406,65
"166","BRVO","BLOOD SWEAT HEELS",-0.729838649258502,66
"167","BRVO","BLOOD SWEAT HEELS",-0.690812420261902,67
"168","BRVO","BLOOD SWEAT HEELS",-0.64991757347643,68
"169","BRVO","BLOOD SWEAT HEELS",-0.607335906807186,69
"170","BRVO","BLOOD SWEAT HEELS",-0.563255486156359,70
"171","BRVO","BLOOD SWEAT HEELS",-0.517869883460144,71
