"","Network","Show_Name","dct_values","period"
"1","BRVO","BELOW DECK",1,1
"2","BRVO","BELOW DECK",0.999277259231271,2
"3","BRVO","BELOW DECK",0.99783170919052,3
"4","BRVO","BELOW DECK",0.995663216024016,4
"5","BRVO","BELOW DECK",0.992771586818024,5
"6","BRVO","BELOW DECK",0.989156578996285,6
"7","BRVO","BELOW DECK",0.984817912778968,7
"8","BRVO","BELOW DECK",0.979755286642525,8
"9","BRVO","BELOW DECK",0.97396839570531,9
"10","BRVO","BELOW DECK",0.967456952949403,10
"11","BRVO","BELOW DECK",0.960220713175162,11
"12","BRVO","BELOW DECK",0.952259499571406,12
"13","BRVO","BELOW DECK",0.94357323277113,13
"14","BRVO","BELOW DECK",0.934161962250092,14
"15","BRVO","BELOW DECK",0.924025899913653,15
"16","BRVO","BELOW DECK",0.913165455706023,16
"17","BRVO","BELOW DECK",0.901581275065377,17
"18","BRVO","BELOW DECK",0.889274278038484,18
"19","BRVO","BELOW DECK",0.876245699859331,19
"20","BRVO","BELOW DECK",0.862497132788035,20
"21","BRVO","BELOW DECK",0.848030568998738,21
"22","BRVO","BELOW DECK",0.832848444298776,22
"23","BRVO","BELOW DECK",0.816953682455616,23
"24","BRVO","BELOW DECK",0.800349739903451,24
"25","BRVO","BELOW DECK",0.783040650597437,25
"26","BRVO","BELOW DECK",0.765031070780899,26
"27","BRVO","BELOW DECK",0.746326323428895,27
"28","BRVO","BELOW DECK",0.726932442130741,28
"29","BRVO","BELOW DECK",0.706856214174305,29
"30","BRVO","BELOW DECK",0.686105222595996,30
"31","BRVO","BELOW DECK",0.664687886962554,31
"32","BRVO","BELOW DECK",0.642613502653945,32
"33","BRVO","BELOW DECK",0.619892278420743,33
"34","BRVO","BELOW DECK",0.596535371994505,34
"35","BRVO","BELOW DECK",0.572554923535733,35
"36","BRVO","BELOW DECK",0.547964086710902,36
"37","BRVO","BELOW DECK",0.522777057198018,37
"38","BRVO","BELOW DECK",0.497009098428765,38
