"","Network","Show_Name","dct_values","period"
"1","BRVO","BELOW DECK",-1,1
"2","BRVO","BELOW DECK",-0.996227427752275,2
"3","BRVO","BELOW DECK",-0.988696681835541,3
"4","BRVO","BELOW DECK",-0.977436503066237,4
"5","BRVO","BELOW DECK",-0.962489862038393,5
"6","BRVO","BELOW DECK",-0.943913790987243,6
"7","BRVO","BELOW DECK",-0.921779160638726,7
"8","BRVO","BELOW DECK",-0.89617040292365,8
"9","BRVO","BELOW DECK",-0.867185180648372,9
"10","BRVO","BELOW DECK",-0.834934005422974,10
"11","BRVO","BELOW DECK",-0.799539805351298,11
"12","BRVO","BELOW DECK",-0.761137444185368,12
"13","BRVO","BELOW DECK",-0.719873193837461,13
"14","BRVO","BELOW DECK",-0.675904162327063,14
"15","BRVO","BELOW DECK",-0.629397679415022,15
"16","BRVO","BELOW DECK",-0.580530642344063,16
"17","BRVO","BELOW DECK",-0.529488824261653,17
"18","BRVO","BELOW DECK",-0.476466148048024,18
"19","BRVO","BELOW DECK",-0.421663928408412,19
"20","BRVO","BELOW DECK",-0.365290085213281,20
"21","BRVO","BELOW DECK",-0.30755833118331,21
"22","BRVO","BELOW DECK",-0.248687337117,22
"23","BRVO","BELOW DECK",-0.188899877946646,23
"24","BRVO","BELOW DECK",-0.128421962983969,24
"25","BRVO","BELOW DECK",-0.0674819537786479,25
"26","BRVO","BELOW DECK",-0.00630967306138219,26
"27","BRVO","BELOW DECK",0.0548644917219434,27
"28","BRVO","BELOW DECK",0.115810486757353,28
"29","BRVO","BELOW DECK",0.17629948855665,29
"30","BRVO","BELOW DECK",0.236104795470229,30
"31","BRVO","BELOW DECK",0.295002710511814,31
"32","BRVO","BELOW DECK",0.352773412022788,32
"33","BRVO","BELOW DECK",0.409201808751948,33
"34","BRVO","BELOW DECK",0.464078375988378,34
"35","BRVO","BELOW DECK",0.517199969460231,35
"36","BRVO","BELOW DECK",0.568370613800047,36
"37","BRVO","BELOW DECK",0.617402262478121,37
"38","BRVO","BELOW DECK",0.664115526217964,38
"39","BRVO","BELOW DECK",0.708340367032835,39
"40","BRVO","BELOW DECK",0.749916755157913,40
"41","BRVO","BELOW DECK",0.788695286299499,41
"42","BRVO","BELOW DECK",0.824537756779411,42
"43","BRVO","BELOW DECK",0.857317694318958,43
"44","BRVO","BELOW DECK",0.886920842382244,44
"45","BRVO","BELOW DECK",0.913245596181877,45
"46","BRVO","BELOW DECK",0.936203388641104,46
"47","BRVO","BELOW DECK",0.955719024803951,47
"48","BRVO","BELOW DECK",0.971730963388601,48
"49","BRVO","BELOW DECK",0.984191544387791,49
"50","BRVO","BELOW DECK",0.993067161833025,50
"51","BRVO","BELOW DECK",0.998338381056092,51
"52","BRVO","BELOW DECK",1,52
"53","BRVO","BELOW DECK",0.998061054352857,53
"54","BRVO","BELOW DECK",0.992544766499333,54
"55","BRVO","BELOW DECK",0.983488438506595,55
"56","BRVO","BELOW DECK",0.97094328958205,56
"57","BRVO","BELOW DECK",0.954974238659636,57
"58","BRVO","BELOW DECK",0.935659632987628,58
"59","BRVO","BELOW DECK",0.913090923804231,59
"60","BRVO","BELOW DECK",0.887372290395769,60
"61","BRVO","BELOW DECK",0.858620214036015,61
"62","BRVO","BELOW DECK",0.826963003502784,62
"63","BRVO","BELOW DECK",0.79254027405904,63
"64","BRVO","BELOW DECK",0.75550238196911,64
"65","BRVO","BELOW DECK",0.716009816796052,65
"66","BRVO","BELOW DECK",0.67423255389258,66
"67","BRVO","BELOW DECK",0.630349369655022,67
"68","BRVO","BELOW DECK",0.584547122256274,68
"69","BRVO","BELOW DECK",0.537020000710062,69
"70","BRVO","BELOW DECK",0.487968745243366,70
"71","BRVO","BELOW DECK",0.437599842066842,71
"72","BRVO","BELOW DECK",0.386124695734134,72
"73","BRVO","BELOW DECK",0.333758782368723,73
"74","BRVO","BELOW DECK",0.280720787112652,74
"75","BRVO","BELOW DECK",0.227231729213068,75
"76","BRVO","BELOW DECK",0.173514078211298,76
"77","BRVO","BELOW DECK",0.119790864733709,77
