"","Network","Show_Name","dct_values","period"
"1","BRVO","BELOW DECK",1,1
"2","BRVO","BELOW DECK",0.998816476195439,2
"3","BRVO","BELOW DECK",0.99645117858315,3
"4","BRVO","BELOW DECK",0.992907603132878,4
"5","BRVO","BELOW DECK",0.988190983752446,5
"6","BRVO","BELOW DECK",0.982308280268054,6
"7","BRVO","BELOW DECK",0.975268162458641,7
"8","BRVO","BELOW DECK",0.967080990195918,8
"9","BRVO","BELOW DECK",0.957758789754325,9
"10","BRVO","BELOW DECK",0.947315226367431,10
"11","BRVO","BELOW DECK",0.93576557311931,11
"12","BRVO","BELOW DECK",0.923126676271149,12
"13","BRVO","BELOW DECK",0.909416917134684,13
"14","BRVO","BELOW DECK",0.894656170614899,14
"15","BRVO","BELOW DECK",0.878865760554983,15
"16","BRVO","BELOW DECK",0.862068412026389,16
"17","BRVO","BELOW DECK",0.844288200716331,17
"18","BRVO","BELOW DECK",0.825550499573928,18
"19","BRVO","BELOW DECK",0.805881922884408,19
"20","BRVO","BELOW DECK",0.785310267948478,20
"21","BRVO","BELOW DECK",0.763864454550911,21
"22","BRVO","BELOW DECK",0.74157446240873,22
"23","BRVO","BELOW DECK",0.718471266794924,23
"24","BRVO","BELOW DECK",0.694586772538553,24
"25","BRVO","BELOW DECK",0.669953746606186,25
"26","BRVO","BELOW DECK",0.644605749473024,26
"27","BRVO","BELOW DECK",0.618577065494668,27
"28","BRVO","BELOW DECK",0.591902632492308,28
"29","BRVO","BELOW DECK",0.564617970765225,29
"30","BRVO","BELOW DECK",0.536759111744697,30
"31","BRVO","BELOW DECK",0.508362526502985,31
"32","BRVO","BELOW DECK",0.479465054329745,32
"33","BRVO","BELOW DECK",0.450103831586174,33
"34","BRVO","BELOW DECK",0.420316221044429,34
"35","BRVO","BELOW DECK",0.39013974191624,35
"36","BRVO","BELOW DECK",0.359612000770445,36
"37","BRVO","BELOW DECK",0.328770623534085,37
"38","BRVO","BELOW DECK",0.297653188766086,38
"39","BRVO","BELOW DECK",0.266297162386169,39
"40","BRVO","BELOW DECK",0.234739834034634,40
"41","BRVO","BELOW DECK",0.203018255231055,41
"42","BRVO","BELOW DECK",0.171169179491762,42
"43","BRVO","BELOW DECK",0.139229004557197,43
"44","BRVO","BELOW DECK",0.107233716871053,44
