"","name","average.between","average.within","wb.ratio","widestgap","dunn2","avg.silwidth","within.cluster.ss","cluster.number","algorithm","season","stream","data"
"1","kmeans_C3_growth_cont_2cl",8.1153969237563,8.26228011191015,1.01809932274833,9.0966601015803,0.968876715670701,-0.0164048461160437,2016.90569572807,2,"kmeans","cont","C3","growth"
"2","kmeans_C3_growth_cont_3cl",11.728242572118,3.89134190821689,0.331792413423297,4.95259565108952,2.70556373258971,0.606845505139433,490.28624787052,3,"kmeans","cont","C3","growth"
"3","kmeans_C3_growth_cont_5cl",10.7058254322362,2.57904931553127,0.240901491609,3.87896917730738,1.9919113447005,0.59148689154247,211.26997583971,5,"kmeans","cont","C3","growth"
"4","kmeans_C3_growth_s1_3cl",10.9160379216235,4.27269698495585,0.391414633737403,5.00826367230919,1.72326793663453,0.51296938205857,658.161036609495,3,"kmeans","s1","C3","growth"
"5","kmeans_C3_growth_s1_4cl",10.7642222409697,3.22471805856418,0.299577432198544,2.68098595194496,2.3437467804366,0.572098447157305,338.244295517589,4,"kmeans","s1","C3","growth"
"6","kmeans_C3_growth_s1_5cl",10.0644310688685,2.75977819927445,0.274211048830277,2.68098595194496,1.22689528393775,0.523738624645376,253.958773075897,5,"kmeans","s1","C3","growth"
"7","kmeans_C3_growth_s2_2cl",11.6591420996554,4.87185433786466,0.41785701694198,6.35970128742627,2.08477165167846,0.570757478800926,855.531852236717,2,"kmeans","s2","C3","growth"
"8","kmeans_C3_growth_s2_3cl",11.3526472461219,3.64090028334122,0.320709364468712,3.25925714991621,2.0344620941538,0.614450841987508,473.754518762951,3,"kmeans","s2","C3","growth"
"9","kmeans_C3_growth_s2_5cl",9.77413652860193,2.18948078959792,0.224007592199154,3.25925714991621,1.18116306725374,0.560148686268901,186.773529736288,5,"kmeans","s2","C3","growth"
"10","kmeans_C3_growth_sep_4cl",14.4013892348432,8.36501225757193,0.580847591934625,10.1728698263845,1.20819832096119,0.326707012132341,1881.55770999182,4,"kmeans","sep","C3","growth"
"11","kmeans_C3_growth_sep_5cl",14.1374679635958,7.22429223890623,0.511003261511108,7.97326215127207,1.3024969659156,0.354058025657579,1478.93023575524,5,"kmeans","sep","C3","growth"
