"Show_Name","C3_RAW_kmeans_3","C3_RAW_kmeans_5","C3_RAW_kshape_2","C3_GROWTH_kmeans_4","C3_GROWTH_kmeans_5","C3_GROWTH_DTW_3","LS_RAW_DTW_3","LS_RAW_tadpole_5","LS_GROWTH_DTW_3","LS_GROWTH_tadpole_5"
"BELOW DECK","1","5",2,"1","5",3,1,4,1,3
"BLOOD SWEAT HEELS","3","2",1,"2","1",2,2,3,2,5
"FASHION QUEENS","2","4",1,"1","5",3,3,1,1,3
"GGD","2","3",2,"2","3",2,2,3,2,5
"LADIES OF LONDON","3","1",1,"2","3",2,2,3,2,5
"MANZOD WITH CHILDREN","3","2",1,"2","1",1,2,3,2,4
"MARRIED TO MED ATL","2","4",1,"3","2",3,3,5,3,1
"NEWLYWEDS 1ST YEAR","1","5",2,"4","4",2,1,4,2,2
"ODD MOM OUT","3","2",1,"2","1",2,2,1,2,5
"PEOPLES COUCH","1","5",2,"3","2",1,1,4,3,4
"SOUTHERN CHARM","1","5",2,"2","3",2,1,4,2,5
"THICKER THN WATER","1","5",2,"3","2",1,1,4,2,5
"UNTYING KNOT","2","4",1,"1","5",3,3,1,1,3
"VANDERPUMP RULES","2","3",1,"2","3",2,3,1,2,5
"BOTCHED","2","3",2,"1","5",3,3,2,1,3
"BOTCHED POST OP","3","2",1,NA,NA,NA,2,3,NA,NA
"BURNING LOVE","1","1",2,NA,NA,NA,1,3,NA,NA
"CHRISTINA MILIAN","3","2",1,"3","2",1,2,3,3,1
"ERIC JESSIE GAME ON","2","3",2,"4","4",3,3,2,1,2
"HELLO ROSS","3","4",1,"3","2",1,3,1,1,3
"HOLLYWOOD MEDIUM","3","2",1,"3","2",1,2,1,3,1
"HOUSE OF DVF","1","5",2,"2","3",2,3,2,2,2
"I AM CAIT","3","2",1,"2","1",2,2,3,2,5
"MARRIED TO JONAS","3","2",1,"3","2",1,2,1,3,1
"RICHKIDS OF BH","2","4",1,"4","4",2,3,5,2,2
"ROYALS","1","5",2,"4","3",2,1,3,2,5
"STUDIO E","3","2",1,"4","4",2,2,3,1,2
"TOTAL DIVAS","3","2",1,"1","5",3,2,3,1,3
"WAGS","2","4",1,"4","4",2,3,2,1,2
"12 MONKEYS","3","2",1,"2","3",2,2,3,2,5
"ALMIGHTY JOHNSONS","3","2",1,"3","2",1,2,3,3,4
"BITTEN","2","4",1,"1","5",3,3,2,1,3
"CONTINUUM","2","4",1,"1","5",3,3,5,1,3
"DARK MATTER","3","4",1,"2","3",2,3,5,2,2
"DEFIANCE","3","2",1,"2","1",1,2,3,3,4
"DOMINION","3","2",1,"2","3",2,2,3,2,5
"EXPANSE","3","1",1,"2","3",2,2,3,2,5
"GHOST MINE","1","5",2,"3","2",1,1,4,3,4
"HELIX","3","2",1,"2","1",2,2,3,2,5
"KILLJOYS","1","5",2,"4","4",2,3,5,2,2
"MAGICIANS","3","2",1,"2","1",2,2,3,2,5
"TROY STREET MAGIC","3","1",2,"2","1",2,2,3,2,5
"Z NATION","3","1",1,"2","1",2,1,3,2,5
"CHRISLEY KNOWS BEST","1","5",2,"2","1",2,1,4,2,5
"COLONY","3","2",1,"3","2",1,2,3,3,1
"GRACELAND","2","3",2,"4","4",2,3,5,2,2
"MR ROBOT","3","2",1,"3","2",3,2,3,3,1
"PLAYING HOUSE","1","3",2,"4","4",2,3,2,2,2
"SATISFACTION","3","1",1,"3","2",1,2,3,3,4
"SIRENS","1","5",2,"2","3",2,1,4,3,4
