"","Show_Name","Network","Broadcast_Year","Cable_Qtr","DOW","Date","Episode_num","Season_num","Start_Time","End_Time","Genre","C3_Duration","C3_Impressions","LS_Duration","LS_Impressions","C3_Rebase","C3_Growth","LS_Rebase","LS_Growth","diff_C3_LS","higher_imps","avg_C3_LS","diff_C3_LS_rebase","diff_C3_LS_growth","avg_C3_LS_rebase","avg_C3_LS_growth","program_duration","unique_DOWs_total","unique_starts_total","unique_DOWs_season","unique_starts_season","change_DOW_overall","change_start_overall","change_DOW_season","change_start_season","C3_raw_cluster","C3_growth_cluster","LS_raw_cluster","LS_growth_cluster","raw_growth_C3_cluster","raw_growth_LS_cluster","C3_LS_raw_cluster","C3_LS_raw_diff_cluster","C3_LS_raw_avg_cluster","C3_LS_growth_cluster","C3_LS_growth_diff_cluster","C3_LS_growth_avg_cluster"
"1","12 MONKEYS","SYFY",2015,"1Q","Fri","2015-01-16",1,1,"21:00","22:00","SF",398,792879,60,549962.5,0,NA,0,NA,242916.5,"C3",671420.75,0,NA,0,NA,60,2,1,1,1,"Yes","No","No","No",2,3,4,5,1,3,2,2,1,4,2,4
"2","12 MONKEYS","SYFY",2015,"1Q","Fri","2015-01-23",2,1,"21:00","22:00","SF",694,475324.597982709,60,371243,-317554.402017291,1.66807904191157,-178719.5,1.48140840366014,104081.597982709,"C3",423283.798991354,-138834.902017291,2.33390440489159,-248136.951008646,1.58621887159379,60,2,1,1,1,"Yes","No","No","No",2,3,4,5,1,3,2,2,1,4,2,4
"3","12 MONKEYS","SYFY",2015,"1Q","Fri","2015-01-30",3,1,"21:00","22:00","SF",691,571487.516642547,60,399015,-221391.483357453,0.831732249857724,-150947.5,0.930398606568675,172472.516642547,"C3",485251.258321273,-70443.983357453,0.603467729287097,-186169.491678727,0.872298199608394,60,2,1,1,1,"Yes","No","No","No",2,3,4,5,1,3,2,2,1,4,2,4
"4","12 MONKEYS","SYFY",2015,"1Q","Fri","2015-02-06",4,1,"21:00","22:00","SF",743,393477.866756393,60,288537.5,-399401.133243607,1.45240066831094,-261425,1.38288783953559,104940.366756393,"C3",341007.683378196,-137976.133243607,1.64352881520723,-330413.066621804,1.42299215523277,60,2,1,1,1,"Yes","No","No","No",2,3,4,5,1,3,2,2,1,4,2,4
"5","12 MONKEYS","SYFY",2015,"1Q","Fri","2015-02-13",5,1,"21:00","22:00","SF",712,382343.443820225,60,294458.5,-410535.556179775,1.02912152180489,-255504,0.979891903273297,87884.9438202247,"C3",338400.971910112,-155031.556179775,1.19406535630331,-333019.778089888,1.00770302594987,60,2,1,1,1,"Yes","No","No","No",2,3,4,5,1,3,2,2,1,4,2,4
"6","12 MONKEYS","SYFY",2015,"1Q","Fri","2015-02-20",6,1,"21:00","22:00","SF",833,391061.569027611,60,219432.5,-401817.430972389,0.977706515040421,-330530,1.34190924316134,171629.069027611,"C3",305247.034513806,-71287.4309723889,0.512063278779926,-366173.715486194,1.10861346269625,60,2,1,1,1,"Yes","No","No","No",2,3,4,5,1,3,2,2,1,4,2,4
"7","12 MONKEYS","SYFY",2015,"1Q","Fri","2015-02-27",7,1,"21:00","22:00","SF",710,377763.743661972,60,232053.5,-415115.256338028,1.03520143367051,-317909,0.945611680065157,145710.243661972,"C3",304908.621830986,-97206.2563380282,1.17787922601905,-366512.128169014,1.00110988230109,60,2,1,1,1,"Yes","No","No","No",2,3,4,5,1,3,2,2,1,4,2,4
"8","12 MONKEYS","SYFY",2015,"1Q","Fri","2015-03-06",8,1,"21:00","22:00","SF",768,431334.401041667,60,380128.5,-361544.598958333,0.875802492798343,-169834,0.6104606731671,51205.9010416667,"C3",405731.450520833,-191710.598958333,2.8455752305463,-265689.299479167,0.751503541171328,60,2,1,1,1,"Yes","No","No","No",2,3,4,5,1,3,2,2,1,4,2,4
"9","12 MONKEYS","SYFY",2015,"1Q","Fri","2015-03-13",9,1,"21:00","22:00","SF",710,413220.070422535,60,327798.5,-379658.929577465,1.04383700578873,-222164,1.15964075491499,85421.5704225352,"C3",370509.285211268,-157494.929577465,0.599449305232604,-300911.464788732,1.09506419060316,60,2,1,1,1,"Yes","No","No","No",2,3,4,5,1,3,2,2,1,4,2,4
"10","12 MONKEYS","SYFY",2015,"1Q","Fri","2015-03-20",10,1,"21:00","22:00","SF",712,385961.54494382,60,278079,-406917.45505618,1.07062497763264,-271883.5,1.17879631327788,107882.54494382,"C3",332020.27247191,-135033.95505618,0.791801588171826,-339400.47752809,1.11592368277035,60,2,1,1,1,"Yes","No","No","No",2,3,4,5,1,3,2,2,1,4,2,4
"11","12 MONKEYS","SYFY",2015,"1Q","Fri","2015-03-27",11,1,"21:00","22:00","SF",714,382170.780112045,60,245823.5,-410708.219887955,1.00991903365994,-304139,1.13121406212181,136347.280112045,"C3",313997.140056022,-106569.219887955,0.79123356810027,-357423.609943978,1.05739903367487,60,2,1,1,1,"Yes","No","No","No",2,3,4,5,1,3,2,2,1,4,2,4
"12","12 MONKEYS","SYFY",2015,"2Q","Fri","2015-04-03",12,1,"21:00","22:00","SF",704,223298.75,60,257812,-569580.25,1.71147747182662,-292150.5,0.953499061331513,-34513.25,"LS",240555.375,-277429.75,-3.95057782480771,-430865.375,1.30530086910767,60,2,1,1,1,"Yes","No","No","No",2,3,4,5,1,3,2,2,1,4,2,4
"13","12 MONKEYS","SYFY",2015,"2Q","Fri","2015-04-10",13,1,"21:00","22:00","SF",642,353618.788161994,60,254442.5,-439260.211838006,0.631467437464624,-295520,1.01324267761872,99176.2881619938,"C3",304030.644080997,-143740.211838006,-0.347999009033554,-367390.105919003,0.791220818306439,60,2,1,1,1,"Yes","No","No","No",2,3,4,5,1,3,2,2,1,4,2,4
"14","12 MONKEYS","SYFY",2016,"2Q","Mon","2016-04-18",1,2,"21:00","22:00","SF",673,194512.907875186,60,172312.5,0,NA,0,NA,22200.4078751857,"C3",183412.703937593,0,NA,0,NA,60,2,1,1,1,"Yes","No","No","No",2,3,4,5,1,3,2,2,1,4,2,4
