"","Show_Name","Season_num","avg_C3","avg_LS","correlation","higher_imps","unique_DOWs_total","unique_starts_total","unique_DOWs_season","unique_starts_season","change_DOW_overall","change_start_overall","change_DOW_season","change_start_season","C3_raw_cluster","C3_growth_cluster","LS_raw_cluster","LS_growth_cluster","raw_growth_C3_cluster","raw_growth_LS_cluster","C3_LS_raw_cluster","C3_LS_raw_diff_cluster","C3_LS_raw_avg_cluster","C3_LS_growth_cluster","C3_LS_growth_diff_cluster","C3_LS_growth_avg_cluster"
"1","12 MONKEYS",1,428764.774813348,315291.269230769,0.893587561818615,"C3",2,1,1,1,"Yes","No","No","No",2,3,4,5,1,3,2,2,1,4,5,4
"2","12 MONKEYS",2,170984.200914533,149036.608448928,0.812196608424272,"C3",2,1,1,1,"Yes","No","No","No",2,3,4,5,1,3,2,2,1,4,5,4
"3","ALMIGHTY JOHNSONS",1,219805.977818029,213313.769581056,0.969186800995056,"C3",3,2,1,2,"Yes","Yes","No","Yes",2,2,4,1,2,2,2,5,1,1,2,1
"4","ALMIGHTY JOHNSONS",2,99591.2106645193,105932.269230769,0.929679690095424,"LS",3,2,2,1,"Yes","Yes","Yes","No",2,2,4,1,2,2,2,5,1,1,2,1
"5","BELOW DECK",1,771392.504369504,809370.237037037,0.966492738070211,"LS",2,2,1,1,"Yes","Yes","No","No",5,5,1,3,4,5,3,3,2,2,1,2
"6","BELOW DECK",2,605762.59806906,583850.5,0.974151355939475,"C3",2,2,1,1,"Yes","Yes","No","No",5,5,1,3,4,5,3,3,2,2,1,2
"7","BITTEN",1,344253.598272497,343217.923076923,0.81711027029156,"C3",2,4,1,2,"Yes","Yes","No","Yes",4,5,2,3,5,5,5,2,5,2,1,2
"8","BITTEN",2,224098.019262567,196203.55,0.942009852239039,"C3",2,4,1,4,"Yes","Yes","No","Yes",4,5,2,3,5,5,5,2,5,2,1,2
"9","BLOOD SWEAT HEELS",1,917662.530083752,994052.111111111,0.997892604221868,"LS",1,3,1,1,"No","Yes","No","No",2,1,4,5,1,3,1,1,3,4,4,4
"10","BLOOD SWEAT HEELS",2,540627.503027522,550061.318181818,0.955072967498919,"LS",1,3,1,3,"No","Yes","No","Yes",2,1,4,5,1,3,1,1,3,4,4,4
"11","BOTCHED",1,865661.156995335,822383.5,0.95205340016713,"C3",2,3,2,3,"Yes","Yes","Yes","Yes",3,5,2,3,5,5,4,3,4,2,3,2
"12","BOTCHED",2,622617.06759704,567754.357142857,0.924259122925252,"C3",2,3,2,1,"Yes","Yes","Yes","No",3,5,2,3,5,5,4,3,4,2,3,2
"13","BOTCHED POST OP",1,378871.333333333,392469.666666667,0.764587840268592,"LS",2,1,1,1,"Yes","No","No","No",2,NA,5,NA,NA,NA,1,2,3,NA,NA,NA
"14","BOTCHED POST OP",2,263359.625,245275.625,0.905006447039894,"C3",2,1,1,1,"Yes","No","No","No",2,NA,5,NA,NA,NA,1,2,3,NA,NA,NA
"15","BURNING LOVE",1,183067.428571429,209584.571428571,0.990918570181308,"LS",2,2,1,1,"Yes","Yes","No","No",1,NA,1,NA,NA,NA,3,2,2,NA,NA,NA
"16","BURNING LOVE",2,165524.666666667,157067,0.937293898677471,"C3",2,2,1,1,"Yes","Yes","No","No",1,NA,1,NA,NA,NA,3,2,2,NA,NA,NA
"17","CHRISLEY KNOWS BEST",1,771872.125,707144.114415323,0.945941677940797,"C3",2,2,1,2,"Yes","Yes","No","Yes",5,1,1,5,4,1,3,1,2,4,2,4
